date,time,open,high,low,close,volume
2026-02-16,03:45:00,188,192.29,188,189.11,60215
2026-02-16,03:48:00,189.11,190.95,189.11,190.75,44440
2026-02-16,03:51:00,190.86,192.5,190.8,191.8,43819
2026-02-16,03:54:00,191.8,191.9,190.71,190.98,20416
2026-02-16,03:57:00,190.7,190.76,189.5,189.89,23488
2026-02-16,04:00:00,189.99,190.99,189.64,190.79,18064
2026-02-16,04:03:00,190.5,190.62,190.19,190.29,7048
2026-02-16,04:06:00,190.29,190.29,189.61,189.91,9761
2026-02-16,04:09:00,189.88,189.99,189.36,189.59,13764
2026-02-16,04:12:00,189.59,189.81,189.3,189.3,4824
2026-02-16,04:15:00,189.3,190.7,189.3,190.7,14025
2026-02-16,04:18:00,190.7,191.5,190.7,191.06,15721
2026-02-16,04:21:00,191.08,191.25,190.29,191.07,8539
2026-02-16,04:24:00,191.01,192.87,190.9,192.8,27478
2026-02-16,04:27:00,192.56,193.23,192.17,193,32081
2026-02-16,04:30:00,193.23,193.4,192.45,193.4,18811
2026-02-16,04:33:00,193,193.31,192.51,192.93,15049
2026-02-16,04:36:00,192.85,192.87,191.99,192.5,31121
2026-02-16,04:39:00,192.5,192.68,192.24,192.56,8147
2026-02-16,04:42:00,192.56,192.96,192.5,192.75,14671
2026-02-16,04:45:00,192.6,193.24,192.5,193.24,11105
2026-02-16,04:48:00,193.01,193.04,192.69,192.95,8056
2026-02-16,04:51:00,192.99,193.25,192.71,192.98,7282
2026-02-16,04:54:00,192.98,192.98,192.41,192.48,2291
2026-02-16,04:57:00,192.3,193.35,192.3,193.19,20140
2026-02-16,05:00:00,193.19,193.6,192.84,193.38,22155
2026-02-16,05:03:00,193.65,194,193.22,193.4,22005
2026-02-16,05:06:00,193.4,193.54,193.05,193.19,5654
2026-02-16,05:09:00,193.34,193.38,192.8,193.38,5953
2026-02-16,05:12:00,193.38,193.5,193,193.27,9262
2026-02-16,05:15:00,193.27,193.49,193.24,193.29,2815
2026-02-16,05:18:00,193.29,193.45,192.8,192.8,4074
2026-02-16,05:21:00,192.8,193.31,192.6,193,27295
2026-02-16,05:24:00,192.98,193.05,192.75,192.83,11808
2026-02-16,05:27:00,192.83,193.6,192.61,193.6,7383
2026-02-16,05:30:00,193.6,193.8,193.35,193.35,4488
2026-02-16,05:33:00,193.35,193.94,193.18,193.68,22834
2026-02-16,05:36:00,193.67,193.67,193.46,193.67,3569
2026-02-16,05:39:00,193.67,193.67,193.23,193.34,2866
2026-02-16,05:42:00,193.34,193.34,193.32,193.32,511
2026-02-16,05:45:00,193.32,193.39,193.01,193.32,1374
2026-02-16,05:48:00,193.32,193.32,192.9,192.9,2867
2026-02-16,05:51:00,192.9,193.4,192.9,193.4,2414
2026-02-16,05:54:00,193.4,193.45,193.01,193.05,1263
2026-02-16,05:57:00,193.05,193.28,192.94,193.22,2202
2026-02-16,06:00:00,193.22,193.28,192.8,193.14,4562
2026-02-16,06:03:00,193.14,193.43,192.85,193.07,2487
2026-02-16,06:06:00,193.13,193.28,193.04,193.1,3409
2026-02-16,06:09:00,193.1,193.28,193,193.12,1957
2026-02-16,06:12:00,192.82,193.25,192.75,193.07,3924
2026-02-16,06:15:00,193.06,193.06,192.75,192.8,833
2026-02-16,06:18:00,192.8,193.2,192.73,193.04,2665
2026-02-16,06:21:00,193.04,193.05,192.85,192.85,707
2026-02-16,06:24:00,192.85,193.18,192.85,193,3004
2026-02-16,06:27:00,193,193.49,193,193.49,4284
2026-02-16,06:30:00,193.49,193.49,192.96,193.37,3589
2026-02-16,06:33:00,193.37,193.43,193.17,193.43,908
2026-02-16,06:36:00,193.2,193.43,192.81,193.19,2324
2026-02-16,06:39:00,193.19,193.19,192.9,192.93,506
2026-02-16,06:42:00,192.93,192.93,192.93,192.93,281
2026-02-16,06:45:00,192.93,192.93,192.6,192.73,3604
2026-02-16,06:48:00,192.73,193.21,192.73,193.21,1933
2026-02-16,06:51:00,193.21,193.25,193,193.11,920
2026-02-16,06:54:00,193.11,193.39,192.89,193.3,1437
2026-02-16,06:57:00,193.34,194.35,193.34,194,29897
2026-02-16,07:00:00,194,194.19,193.83,193.86,1319
2026-02-16,07:03:00,193.86,194,193.65,193.89,3635
2026-02-16,07:06:00,193.89,193.89,193.72,193.72,163
2026-02-16,07:09:00,193.72,193.85,193.36,193.5,4621
2026-02-16,07:12:00,193.5,193.72,193.4,193.46,2349
2026-02-16,07:15:00,193.46,193.73,193.44,193.73,159
2026-02-16,07:18:00,193.78,193.87,193.64,193.64,1485
2026-02-16,07:21:00,193.64,193.85,193.51,193.6,1696
2026-02-16,07:24:00,193.6,193.83,193.6,193.8,159
2026-02-16,07:27:00,193.8,193.8,193.54,193.54,369
2026-02-16,07:30:00,193.54,194.2,193.54,194,4543
2026-02-16,07:33:00,194,194.28,194,194.04,8507
2026-02-16,07:36:00,194.04,194.75,193.81,194.75,11156
2026-02-16,07:39:00,194.75,194.95,192.57,192.81,65928
2026-02-16,07:42:00,192.78,193,192.73,192.75,2409
2026-02-16,07:45:00,192.86,193.04,192.6,193.04,6309
2026-02-16,07:48:00,193.04,193.4,193.04,193.14,4955
2026-02-16,07:51:00,193.14,193.35,193.14,193.32,1315
2026-02-16,07:54:00,193.32,193.36,193.08,193.36,529
2026-02-16,07:57:00,193.15,193.7,193.11,193.7,4419
2026-02-16,08:00:00,193.7,193.7,193.3,193.3,1339
2026-02-16,08:03:00,193.3,193.49,193.2,193.49,5413
2026-02-16,08:06:00,193.49,193.72,191.99,192.3,33000
2026-02-16,08:09:00,192.29,192.4,192.09,192.23,3658
2026-02-16,08:12:00,192.23,192.24,191.63,191.96,2432
2026-02-16,08:15:00,191.96,191.96,191.2,191.69,8761
2026-02-16,08:18:00,191.69,191.78,191.69,191.78,340
