date,time,open,high,low,close,volume
2026-02-16,03:45:00,239,239,233.55,233.75,8168
2026-02-16,03:48:00,233.95,234.55,233.7,233.85,2897
2026-02-16,03:51:00,233.85,233.95,233.5,233.6,578
2026-02-16,03:54:00,233.6,233.85,232.35,233,9516
2026-02-16,03:57:00,233,233,232,232.1,4931
2026-02-16,04:00:00,232,232.45,231.55,232.4,4975
2026-02-16,04:03:00,232.4,233.4,232.25,232.25,3323
2026-02-16,04:06:00,232.25,232.25,231,231.6,4172
2026-02-16,04:09:00,231.6,232.1,231.35,232.1,11819
2026-02-16,04:12:00,232.1,233.1,231.95,231.95,4084
2026-02-16,04:15:00,231.95,232.35,231.8,231.9,293
2026-02-16,04:18:00,231.9,240.65,230.65,240.25,42570
2026-02-16,04:21:00,241.7,259.95,239,243.7,284419
2026-02-16,04:24:00,243.7,245.95,241.5,244.25,84684
2026-02-16,04:27:00,244.25,245.35,243.5,244.15,14582
2026-02-16,04:30:00,244.15,244.6,241.25,241.95,23674
2026-02-16,04:33:00,241.95,246.15,241.95,244.85,53070
2026-02-16,04:36:00,244.85,246.3,242.75,245.6,35092
2026-02-16,04:39:00,245.6,245.6,244,244.75,5890
2026-02-16,04:42:00,244.2,250.1,239.5,240,257192
2026-02-16,04:45:00,240,240.95,238.4,240.05,39137
2026-02-16,04:48:00,240,241.95,237.75,240.3,38714
2026-02-16,04:51:00,240.3,240.3,239.15,239.15,1850
2026-02-16,04:54:00,239.3,239.3,238.25,238.55,2758
2026-02-16,04:57:00,238.55,238.55,237.3,237.3,10605
2026-02-16,05:00:00,237.3,242.2,237.05,240.95,67540
2026-02-16,05:03:00,240.95,243.7,240.95,241.45,50582
2026-02-16,05:06:00,241.8,241.8,241.2,241.25,4969
2026-02-16,05:09:00,241.25,264,241.25,256.3,287145
2026-02-16,05:12:00,256.45,268.3,252.4,258.1,177150
2026-02-16,05:15:00,258.1,260.9,248.85,249.2,275917
2026-02-16,05:18:00,249.25,250.4,247.65,248.85,51176
