date,time,open,high,low,close,volume
2026-02-09,03:45:00,168.85,174.19,168.48,170.78,4557
2026-02-09,03:48:00,170.78,171.63,168.48,168.48,2961
2026-02-09,03:51:00,168.48,169.09,168,168.21,3467
2026-02-09,03:54:00,168.22,168.22,166.5,166.65,4558
2026-02-09,03:57:00,166.55,173,166,171.43,22060
2026-02-09,04:00:00,171.43,172.92,170.41,171.52,6660
2026-02-09,04:03:00,171.52,171.52,169.67,170.2,1026
2026-02-09,04:06:00,170.2,172.3,170.2,171.79,8725
2026-02-09,04:09:00,171.79,172.13,170.65,171.39,1609
2026-02-09,04:12:00,171,171,170.44,170.44,124
2026-02-09,04:15:00,170.52,172.84,170.27,171.51,3616
2026-02-09,04:18:00,172.33,172.33,171.03,171.66,1017
2026-02-09,04:21:00,171.28,171.43,171.2,171.2,248
2026-02-09,04:24:00,171.2,172.33,171.2,172.04,3241
2026-02-09,04:27:00,172.04,172.72,172,172.72,871
2026-02-09,04:30:00,172.72,173.68,172.15,173.5,2049
2026-02-09,04:33:00,173.5,174,172.22,172.22,1558
2026-02-09,04:36:00,172.22,172.95,172,172.19,1607
2026-02-09,04:39:00,172.19,172.19,171.22,172.18,1258
2026-02-09,04:42:00,172.18,172.6,172.18,172.59,191
2026-02-09,04:45:00,172.59,172.59,172.08,172.08,422
2026-02-09,04:48:00,172.08,172.52,172.08,172.52,290
2026-02-09,04:51:00,172.52,172.53,172.2,172.52,54
2026-02-09,04:54:00,172.52,172.55,172.26,172.55,2881
2026-02-09,04:57:00,172.55,172.55,172.26,172.26,664
2026-02-09,05:00:00,172.26,172.55,172.26,172.55,77
2026-02-09,05:03:00,172.55,172.55,172.54,172.54,53
2026-02-09,05:06:00,172.54,172.54,172.54,172.54,41
2026-02-09,05:09:00,172.54,172.55,172.4,172.4,57
2026-02-09,05:12:00,172.21,172.41,172.01,172.4,592
2026-02-09,05:15:00,172.4,172.4,172.11,172.38,107
2026-02-09,05:18:00,172,172.09,171.8,171.8,805
2026-02-09,05:21:00,171.8,171.8,171.71,171.71,131
2026-02-09,05:24:00,171.71,171.71,171.22,171.22,710
2026-02-09,05:27:00,171.22,171.8,171.17,171.38,120
2026-02-09,05:30:00,171.38,171.38,171.38,171.38,36
2026-02-09,05:33:00,171.38,171.44,171.07,171.07,160
2026-02-09,05:36:00,171.44,171.44,166.61,167.5,20545
2026-02-09,05:39:00,167.5,168.99,167.5,168.99,832
2026-02-09,05:42:00,168.99,169.22,168.32,169,769
2026-02-09,05:45:00,169,169,167.62,168.36,1089
2026-02-09,05:48:00,168.36,168.63,167.76,168.27,466
2026-02-09,05:51:00,168.23,168.23,167.29,167.67,4049
2026-02-09,05:54:00,167.67,167.82,167.35,167.35,546
2026-02-09,05:57:00,167.35,168.19,167.35,167.76,1296
2026-02-09,06:00:00,167.76,170.78,167.68,170.77,17469
2026-02-09,06:03:00,170.77,171,170,171,826
2026-02-09,06:06:00,171,171,170.3,170.32,223
2026-02-09,06:09:00,170.32,170.49,170.17,170.17,442
2026-02-09,06:12:00,170,170,169.26,169.26,895
2026-02-09,06:15:00,169.26,169.26,168.7,168.7,1998
2026-02-09,06:18:00,168.7,169.22,168.41,169.01,803
2026-02-09,06:21:00,169.01,169.01,168.7,168.7,219
2026-02-09,06:24:00,168.7,169,168.7,169,137
2026-02-09,06:27:00,168.63,170.58,168.5,170.58,5104
2026-02-09,06:30:00,170,170,169.71,169.71,281
2026-02-09,06:33:00,169.71,170.29,169.71,169.71,626
2026-02-09,06:36:00,169.71,169.89,169.62,169.89,48
2026-02-09,06:39:00,169.89,169.89,169.89,169.89,5
2026-02-09,06:42:00,169.89,169.89,169.89,169.89,130
2026-02-09,06:45:00,169.89,169.89,169.41,169.41,335
2026-02-09,06:48:00,169.79,169.79,169.42,169.42,38
2026-02-09,06:51:00,169.42,169.42,169.38,169.38,560
2026-02-09,06:54:00,169.01,169.37,169.01,169.37,82
2026-02-09,06:57:00,169.54,169.97,169.21,169.97,179
2026-02-09,07:00:00,169.97,169.97,169.97,169.97,0
2026-02-09,07:03:00,169.97,169.97,169.68,169.68,14
2026-02-09,07:06:00,169.68,169.88,169.68,169.88,150
2026-02-09,07:09:00,169.96,169.96,168.42,168.42,2020
2026-02-09,07:12:00,168.93,169.29,168.82,168.82,79
2026-02-09,07:15:00,168.82,169.36,168.82,169.31,1410
2026-02-09,07:18:00,169.31,169.61,169.15,169.61,54
2026-02-09,07:21:00,169.61,169.61,169.01,169.01,229
2026-02-09,07:24:00,169.01,169.01,169,169,188
2026-02-09,07:27:00,169,169,168.92,168.92,1
2026-02-09,07:30:00,168.92,168.92,168.92,168.92,0
2026-02-09,07:33:00,168.92,169.46,168.92,169.46,10
2026-02-09,07:36:00,169.57,169.57,169.42,169.51,530
2026-02-09,07:39:00,169.51,169.51,169.21,169.21,50
