date,time,open,high,low,close,volume
2026-02-17,09:15:00,2582.8,2586.9,2554.4,2568.6,3466
2026-02-17,09:18:00,2568.6,2579,2561.8,2561.8,1934
2026-02-17,09:21:00,2562.4,2564.3,2555.9,2555.9,360
2026-02-17,09:24:00,2555.3,2558.1,2550,2552,1045
2026-02-17,09:27:00,2552,2558.4,2539.5,2543,3223
2026-02-17,09:30:00,2543,2556.7,2538.5,2554.2,3761
2026-02-17,09:33:00,2556.7,2566.7,2556.7,2560,625
2026-02-17,09:36:00,2560,2566.1,2556,2565.5,709
2026-02-17,09:39:00,2565.6,2565.6,2559.8,2562.4,75
2026-02-17,09:42:00,2562.4,2573.9,2562.4,2573.9,297
2026-02-17,09:45:00,2572.7,2574.5,2567.8,2573.1,594
2026-02-17,09:48:00,2574.4,2580,2574.4,2577,692
2026-02-17,09:51:00,2577,2583,2576.1,2583,420
2026-02-17,09:54:00,2583,2590,2581.8,2588.1,930
2026-02-17,09:57:00,2588.1,2591,2582.1,2585,2339
2026-02-17,10:00:00,2585,2589.5,2584.1,2586.9,526
2026-02-17,10:03:00,2587,2588.8,2582.8,2587.8,598
2026-02-17,10:06:00,2587.8,2587.8,2583.5,2585,184
2026-02-17,10:09:00,2587.9,2589.3,2575.1,2575.4,1033
2026-02-17,10:12:00,2575.4,2586.8,2575.4,2586.8,353
2026-02-17,10:15:00,2586.8,2595,2584.4,2592.9,504
2026-02-17,10:18:00,2593.8,2595,2586.8,2586.8,1615
2026-02-17,10:21:00,2586.8,2588.4,2577.2,2582.3,497
2026-02-17,10:24:00,2582.3,2587.9,2578.6,2587.9,595
2026-02-17,10:27:00,2587,2588,2581.6,2583.2,274
2026-02-17,10:30:00,2583.2,2593.8,2583.2,2590,1025
2026-02-17,10:33:00,2590,2590,2582.6,2583.3,223
2026-02-17,10:36:00,2587.2,2589.6,2584,2584,429
2026-02-17,10:39:00,2584,2584,2580,2582.8,100
2026-02-17,10:42:00,2580,2580,2575.9,2579,109
2026-02-17,10:45:00,2578.8,2578.8,2567,2569.3,1189
2026-02-17,10:48:00,2569.3,2572.7,2565,2565,450
2026-02-17,10:51:00,2565,2571.7,2563.3,2571.7,523
2026-02-17,10:54:00,2571.7,2571.8,2568.7,2571.7,164
2026-02-17,10:57:00,2571.7,2572.7,2566,2566,311
2026-02-17,11:00:00,2563.4,2565.9,2559.9,2560.6,1459
2026-02-17,11:03:00,2559.6,2559.6,2548.8,2548.9,952
2026-02-17,11:06:00,2550,2561.1,2550,2558.7,857
2026-02-17,11:09:00,2558.7,2561.1,2558,2560.4,27
2026-02-17,11:12:00,2560.4,2560.4,2555,2555,60
2026-02-17,11:15:00,2555,2557.8,2553.4,2554.9,89
2026-02-17,11:18:00,2558.2,2558.8,2552.4,2557.4,676
2026-02-17,11:21:00,2557.4,2559.4,2554.9,2556.1,169
2026-02-17,11:24:00,2558.8,2563.7,2558.8,2563.7,59
2026-02-17,11:27:00,2563.7,2566.8,2560.5,2564.5,426
2026-02-17,11:30:00,2563.8,2567.9,2563.8,2566.8,176
2026-02-17,11:33:00,2566.8,2577.6,2565.3,2576,229
2026-02-17,11:36:00,2576,2576.4,2572.8,2572.8,15
2026-02-17,11:39:00,2572.8,2577.8,2572,2577.8,203
2026-02-17,11:42:00,2577.8,2577.8,2573.4,2576.6,445
2026-02-17,11:45:00,2576.6,2577.6,2573.5,2577,71
2026-02-17,11:48:00,2577,2582.4,2577,2581.2,160
2026-02-17,11:51:00,2581.2,2583.1,2578.6,2580,143
2026-02-17,11:54:00,2580,2584.4,2580,2583,385
2026-02-17,11:57:00,2583,2588.4,2583,2588.3,173
2026-02-17,12:00:00,2588.3,2588.3,2583,2584.1,237
2026-02-17,12:03:00,2584.1,2586.4,2583.4,2583.4,69
2026-02-17,12:06:00,2583.4,2588.4,2580.3,2583.4,466
2026-02-17,12:09:00,2583.4,2587.5,2583.4,2584.6,135
