date,time,open,high,low,close,volume
2026-02-09,03:45:00,6.65,6.71,6.64,6.67,301839
2026-02-09,03:48:00,6.67,6.67,6.65,6.66,185178
2026-02-09,03:51:00,6.66,6.67,6.64,6.66,106552
2026-02-09,03:54:00,6.66,6.68,6.65,6.65,120000
2026-02-09,03:57:00,6.65,6.68,6.65,6.67,111658
2026-02-09,04:00:00,6.68,6.7,6.67,6.69,153101
2026-02-09,04:03:00,6.69,6.7,6.68,6.69,64141
2026-02-09,04:06:00,6.69,6.69,6.66,6.68,115053
2026-02-09,04:09:00,6.68,6.68,6.66,6.68,58750
2026-02-09,04:12:00,6.68,6.69,6.66,6.69,63709
2026-02-09,04:15:00,6.69,6.7,6.67,6.68,165441
2026-02-09,04:18:00,6.68,6.72,6.66,6.72,297392
2026-02-09,04:21:00,6.71,6.72,6.69,6.71,89086
2026-02-09,04:24:00,6.72,6.79,6.72,6.73,668613
2026-02-09,04:27:00,6.73,6.77,6.73,6.76,163761
2026-02-09,04:30:00,6.76,6.77,6.74,6.75,200496
2026-02-09,04:33:00,6.75,6.76,6.74,6.76,51799
2026-02-09,04:36:00,6.76,6.79,6.75,6.77,149343
2026-02-09,04:39:00,6.76,6.76,6.73,6.75,62330
2026-02-09,04:42:00,6.75,6.75,6.73,6.74,17720
2026-02-09,04:45:00,6.73,6.75,6.73,6.74,30078
2026-02-09,04:48:00,6.74,6.77,6.74,6.77,147825
2026-02-09,04:51:00,6.77,6.78,6.76,6.76,30475
2026-02-09,04:54:00,6.76,6.78,6.76,6.77,113292
2026-02-09,04:57:00,6.77,6.8,6.75,6.8,201941
2026-02-09,05:00:00,6.8,6.81,6.77,6.78,218081
2026-02-09,05:03:00,6.78,6.79,6.78,6.79,44243
2026-02-09,05:06:00,6.79,6.79,6.77,6.79,14678
2026-02-09,05:09:00,6.79,6.8,6.79,6.8,77520
2026-02-09,05:12:00,6.8,6.8,6.78,6.78,19894
2026-02-09,05:15:00,6.78,6.79,6.78,6.79,24983
2026-02-09,05:18:00,6.79,6.85,6.78,6.84,252457
2026-02-09,05:21:00,6.83,6.86,6.82,6.86,125854
2026-02-09,05:24:00,6.85,6.87,6.83,6.84,130837
2026-02-09,05:27:00,6.84,6.85,6.83,6.84,50571
2026-02-09,05:30:00,6.84,6.84,6.82,6.82,37451
2026-02-09,05:33:00,6.82,6.85,6.81,6.85,173256
2026-02-09,05:36:00,6.84,6.85,6.83,6.84,33570
2026-02-09,05:39:00,6.83,6.84,6.82,6.82,168745
2026-02-09,05:42:00,6.84,6.85,6.83,6.84,113716
2026-02-09,05:45:00,6.84,6.87,6.83,6.87,241824
2026-02-09,05:48:00,6.86,6.86,6.84,6.85,107882
2026-02-09,05:51:00,6.85,6.85,6.82,6.84,85292
2026-02-09,05:54:00,6.84,6.84,6.81,6.83,205765
2026-02-09,05:57:00,6.83,6.84,6.8,6.83,185606
2026-02-09,06:00:00,6.83,6.83,6.8,6.81,172507
2026-02-09,06:03:00,6.82,6.83,6.81,6.83,44564
2026-02-09,06:06:00,6.82,6.83,6.81,6.81,9480
2026-02-09,06:09:00,6.81,6.83,6.81,6.82,53767
2026-02-09,06:12:00,6.82,6.83,6.81,6.82,26279
2026-02-09,06:15:00,6.82,6.82,6.79,6.8,119825
2026-02-09,06:18:00,6.8,6.8,6.78,6.78,134874
2026-02-09,06:21:00,6.79,6.79,6.76,6.78,147491
2026-02-09,06:24:00,6.78,6.78,6.76,6.76,58972
2026-02-09,06:27:00,6.76,6.77,6.76,6.77,48522
2026-02-09,06:30:00,6.77,6.77,6.76,6.76,22517
2026-02-09,06:33:00,6.77,6.77,6.76,6.77,58851
2026-02-09,06:36:00,6.76,6.78,6.76,6.77,73748
2026-02-09,06:39:00,6.77,6.78,6.76,6.76,158277
2026-02-09,06:42:00,6.76,6.77,6.75,6.77,46101
2026-02-09,06:45:00,6.77,6.78,6.77,6.78,35556
2026-02-09,06:48:00,6.77,6.78,6.76,6.76,78358
2026-02-09,06:51:00,6.76,6.77,6.75,6.77,17375
2026-02-09,06:54:00,6.77,6.78,6.76,6.78,56795
2026-02-09,06:57:00,6.78,6.79,6.77,6.79,76709
2026-02-09,07:00:00,6.78,6.8,6.78,6.8,18227
2026-02-09,07:03:00,6.8,6.8,6.78,6.8,61459
2026-02-09,07:06:00,6.8,6.8,6.79,6.8,61239
2026-02-09,07:09:00,6.81,6.81,6.8,6.8,22867
2026-02-09,07:12:00,6.81,6.81,6.79,6.79,34431
2026-02-09,07:15:00,6.79,6.8,6.79,6.79,9760
2026-02-09,07:18:00,6.79,6.8,6.79,6.8,6557
2026-02-09,07:21:00,6.79,6.8,6.76,6.77,285224
2026-02-09,07:24:00,6.77,6.78,6.75,6.77,77865
2026-02-09,07:27:00,6.78,6.78,6.77,6.78,6654
2026-02-09,07:30:00,6.78,6.78,6.76,6.78,12368
2026-02-09,07:33:00,6.78,6.79,6.78,6.78,46284
2026-02-09,07:36:00,6.78,6.79,6.78,6.78,13753
2026-02-09,07:39:00,6.78,6.79,6.78,6.79,13488
2026-02-09,07:42:00,6.79,6.79,6.78,6.79,19421
2026-02-09,07:45:00,6.79,6.81,6.78,6.81,75596
2026-02-09,07:48:00,6.81,6.81,6.79,6.8,17190
2026-02-09,07:51:00,6.8,6.81,6.79,6.8,10848
2026-02-09,07:54:00,6.8,6.8,6.79,6.8,4830
2026-02-09,07:57:00,6.8,6.81,6.79,6.8,39716
2026-02-09,08:00:00,6.81,6.81,6.8,6.81,29584
2026-02-09,08:03:00,6.81,6.82,6.8,6.82,6438
2026-02-09,08:06:00,6.82,6.83,6.8,6.82,59562
2026-02-09,08:09:00,6.82,6.83,6.81,6.82,42235
2026-02-09,08:12:00,6.82,6.83,6.8,6.82,60745
2026-02-09,08:15:00,6.82,6.84,6.81,6.82,170161
2026-02-09,08:18:00,6.84,6.84,6.82,6.83,149582
2026-02-09,08:21:00,6.83,6.84,6.82,6.84,106938
2026-02-09,08:24:00,6.83,6.84,6.83,6.84,14753
2026-02-09,08:27:00,6.84,6.84,6.82,6.83,9403
2026-02-09,08:30:00,6.83,6.84,6.82,6.84,21990
2026-02-09,08:33:00,6.84,6.84,6.82,6.83,44736
2026-02-09,08:36:00,6.83,6.85,6.82,6.84,150299
2026-02-09,08:39:00,6.85,6.85,6.81,6.81,142895
2026-02-09,08:42:00,6.81,6.82,6.81,6.82,86378
2026-02-09,08:45:00,6.82,6.84,6.82,6.84,49271
2026-02-09,08:48:00,6.84,6.84,6.82,6.83,37850
2026-02-09,08:51:00,6.83,6.88,6.83,6.87,318548
2026-02-09,08:54:00,6.87,6.9,6.87,6.88,290777
2026-02-09,08:57:00,6.88,6.88,6.85,6.86,104875
2026-02-09,09:00:00,6.86,6.86,6.84,6.84,69974
2026-02-09,09:03:00,6.84,6.85,6.84,6.85,33281
2026-02-09,09:06:00,6.85,6.85,6.84,6.85,7754
2026-02-09,09:09:00,6.85,6.86,6.83,6.84,120851
2026-02-09,09:12:00,6.84,6.85,6.83,6.85,38127
2026-02-09,09:15:00,6.85,6.85,6.84,6.85,46691
2026-02-09,09:18:00,6.85,6.85,6.83,6.84,128854
2026-02-09,09:21:00,6.84,6.85,6.84,6.84,16695
2026-02-09,09:24:00,6.84,6.85,6.84,6.84,41053
2026-02-09,09:27:00,6.83,6.85,6.83,6.84,35291
2026-02-09,09:30:00,6.85,6.86,6.83,6.85,138556
2026-02-09,09:33:00,6.85,6.85,6.84,6.85,50095
2026-02-09,09:36:00,6.85,6.86,6.85,6.86,67356
2026-02-09,09:39:00,6.86,6.86,6.84,6.84,78061
2026-02-09,09:42:00,6.85,6.86,6.84,6.84,255847
2026-02-09,09:45:00,6.84,6.85,6.83,6.84,258359
2026-02-09,09:48:00,6.84,6.85,6.84,6.85,82294
2026-02-09,09:51:00,6.85,6.85,6.84,6.85,162258
2026-02-09,09:54:00,6.85,6.89,6.84,6.87,512126
2026-02-09,09:57:00,6.87,6.87,6.82,6.85,479073
2026-02-10,03:45:00,6.86,6.94,6.83,6.9,761423
