date,time,open,high,low,close,volume
2026-02-18,09:15:00,2083.7,2157,2066.1,2155.4,73620
2026-02-18,09:18:00,2157.4,2231.9,2150.8,2219.3,163267
2026-02-18,09:21:00,2222.3,2235,2206.8,2224,192239
2026-02-18,09:24:00,2225.3,2234.3,2219.3,2229.9,101295
2026-02-18,09:27:00,2229,2232.1,2220,2231.8,83414
2026-02-18,09:30:00,2230.2,2240,2225.2,2227.7,92296
2026-02-18,09:33:00,2226.5,2256.9,2223.1,2255.6,191967
2026-02-18,09:36:00,2256.7,2285,2254,2276.2,271619
2026-02-18,09:39:00,2274.5,2289,2263.7,2284,157884
2026-02-18,09:42:00,2285.5,2295,2282.4,2284,165271
2026-02-18,09:45:00,2282.7,2290,2278.1,2284.5,93470
2026-02-18,09:48:00,2284.9,2297.7,2280,2294,139468
2026-02-18,09:51:00,2294.8,2295,2282,2286,87354
2026-02-18,09:54:00,2285.5,2297,2283,2293.5,123331
2026-02-18,09:57:00,2292,2293.8,2285,2288.5,71928
2026-02-18,10:00:00,2288.5,2293.7,2282.1,2286.2,88190
2026-02-18,10:03:00,2286.2,2286.7,2274.3,2278,97755
2026-02-18,10:06:00,2278.9,2306,2272.2,2297.2,173691
2026-02-18,10:09:00,2295.9,2314.3,2284.1,2304.4,192627
2026-02-18,10:12:00,2303.2,2307.6,2297.2,2302.9,88335
2026-02-18,10:15:00,2302.1,2303,2291.9,2293.5,83055
2026-02-18,10:18:00,2294.8,2297,2293,2294.6,25586
2026-02-18,10:21:00,2294.5,2304,2294,2298.9,55612
2026-02-18,10:24:00,2298.1,2311,2296.4,2304,78196
2026-02-18,10:27:00,2302.4,2309,2296,2304,61606
2026-02-18,10:30:00,2302.1,2304,2285.2,2291.3,125495
2026-02-18,10:33:00,2291.3,2298,2286,2289.7,39104
2026-02-18,10:36:00,2289.7,2289.7,2278,2286,100749
2026-02-18,10:39:00,2286,2297.9,2285.2,2291.5,51797
2026-02-18,10:42:00,2291.9,2294.9,2286.1,2287.9,24853
2026-02-18,10:45:00,2287.9,2291.9,2285,2288.2,15571
2026-02-18,10:48:00,2289.2,2307.4,2288,2304.4,62417
2026-02-18,10:51:00,2304.4,2304.4,2294,2297.7,32178
2026-02-18,10:54:00,2297,2307.5,2295.8,2301.2,63007
2026-02-18,10:57:00,2301.5,2314,2300.6,2312.7,109779
2026-02-18,11:00:00,2312.7,2314,2303.3,2310.8,78408
2026-02-18,11:03:00,2309.3,2314,2308,2309.4,49101
2026-02-18,11:06:00,2309,2312.5,2303,2304.9,49957
2026-02-18,11:09:00,2305.4,2306,2297,2297,58220
2026-02-18,11:12:00,2297.2,2303.3,2297.2,2302.3,33281
2026-02-18,11:15:00,2302.3,2312,2301,2312,41671
2026-02-18,11:18:00,2312,2312,2305,2305.7,26593
2026-02-18,11:21:00,2305.7,2308,2300,2300.7,28455
2026-02-18,11:24:00,2301.6,2305,2298,2299.1,33529
2026-02-18,11:27:00,2299.1,2307,2299.1,2307,19018
2026-02-18,11:30:00,2307,2311.4,2301.5,2303.8,39163
2026-02-18,11:33:00,2303,2307,2300.1,2305.3,31978
2026-02-18,11:36:00,2305.3,2309.8,2300.3,2306.5,34336
2026-02-18,11:39:00,2306.5,2307,2300.5,2306.1,21255
2026-02-18,11:42:00,2307.8,2308,2298,2304.4,49899
2026-02-18,11:45:00,2304.4,2304.4,2299.8,2301,10646
2026-02-18,11:48:00,2301,2304.9,2300.4,2304,10403
2026-02-18,11:51:00,2303,2309.8,2303,2309.2,44977
2026-02-18,11:54:00,2309.8,2311.6,2303.8,2306,35958
2026-02-18,11:57:00,2306,2309.9,2298.6,2303.1,45947
2026-02-18,12:00:00,2303.1,2307.4,2301,2306.5,15152
2026-02-18,12:03:00,2306.5,2338.9,2306.5,2330.2,230657
2026-02-18,12:06:00,2331.1,2333,2324.2,2324.2,113338
2026-02-18,12:09:00,2324.5,2325.6,2316.3,2323,91528
2026-02-18,12:12:00,2321.9,2337.6,2321.9,2329.9,109867
2026-02-18,12:15:00,2329.4,2333.6,2328,2329.1,44844
2026-02-18,12:18:00,2330.9,2340,2328.3,2336.6,76739
2026-02-18,12:21:00,2336.6,2343.9,2335.5,2339.3,100425
2026-02-18,12:24:00,2339,2340,2331.5,2336.1,45851
2026-02-18,12:27:00,2336,2342,2336,2338,43141
2026-02-18,12:30:00,2339,2340,2336,2339,33055
2026-02-18,12:33:00,2340,2348.7,2335,2345.2,87461
2026-02-18,12:36:00,2344.2,2348.7,2340.3,2342.6,88812
2026-02-18,12:39:00,2342.6,2348,2342,2342.6,51992
2026-02-18,12:42:00,2342.5,2348,2342.5,2346.6,45855
2026-02-18,12:45:00,2346.5,2374.7,2346.5,2372.8,306034
2026-02-18,12:48:00,2372.7,2377.5,2366,2373.7,146268
2026-02-18,12:51:00,2373.7,2374.4,2365,2372.5,94552
2026-02-18,12:54:00,2372.4,2373.3,2368.4,2371.9,49757
2026-02-18,12:57:00,2372,2389.3,2370.5,2380.4,196109
2026-02-18,13:00:00,2381,2384,2375,2375,121571
2026-02-18,13:03:00,2374,2387.6,2370.6,2382.9,133326
2026-02-18,13:06:00,2381.9,2384.4,2372.1,2374.8,96938
2026-02-18,13:09:00,2374.8,2378,2370,2374,87670
2026-02-18,13:12:00,2373.2,2390,2373,2386.8,133346
2026-02-18,13:15:00,2386.3,2388.9,2381,2385,70565
2026-02-18,13:18:00,2384,2388,2381.8,2381.8,66468
2026-02-18,13:21:00,2383.1,2387.8,2381.3,2383,37121
2026-02-18,13:24:00,2383,2393.7,2382.6,2390.5,109667
2026-02-18,13:27:00,2390.5,2391,2385.1,2390.8,65191
2026-02-18,13:30:00,2390.4,2393.9,2388.8,2391.9,73167
2026-02-18,13:33:00,2391.9,2391.9,2383.3,2387.1,65323
2026-02-18,13:36:00,2386.9,2389.1,2380.2,2387,60650
2026-02-18,13:39:00,2386.7,2389.8,2384.3,2384.3,31608
2026-02-18,13:42:00,2384.3,2389.9,2375.2,2388.3,151673
2026-02-18,13:45:00,2389.5,2390,2383.5,2387.9,69357
2026-02-18,13:48:00,2387.9,2388.3,2384.2,2386.4,34215
2026-02-18,13:51:00,2383,2386.5,2372.3,2377.8,182863
2026-02-18,13:54:00,2378.8,2385,2376.2,2380.7,46649
2026-02-18,13:57:00,2380.5,2382.4,2375,2380.8,77856
2026-02-18,14:00:00,2380.8,2388,2374,2376.5,88021
2026-02-18,14:03:00,2376.5,2376.6,2362,2368.6,143665
2026-02-18,14:06:00,2369,2376.6,2365,2366,76229
2026-02-18,14:09:00,2366,2369.6,2359.3,2368.1,121003
2026-02-18,14:12:00,2367.7,2382.5,2363.1,2382.5,114759
2026-02-18,14:15:00,2381.3,2381.5,2368.5,2377,76412
2026-02-18,14:18:00,2376.5,2378.6,2372.1,2374.2,48863
2026-02-18,14:21:00,2375,2381.6,2373.6,2380,35582
2026-02-18,14:24:00,2379.9,2450,2378,2450,560718
2026-02-18,14:27:00,2450,2467.8,2447,2461.5,512734
2026-02-18,14:30:00,2460.1,2467,2453,2456.1,178797
2026-02-18,14:33:00,2456.1,2466.2,2453,2458.1,96996
2026-02-18,14:36:00,2458.1,2463.9,2442.1,2447.2,145997
2026-02-18,14:39:00,2447,2452,2438.8,2449,97745
2026-02-18,14:42:00,2449,2454,2443.5,2449,65444
2026-02-18,14:45:00,2449,2478.8,2449,2467,339184
2026-02-18,14:48:00,2468.1,2473.5,2465,2468,86551
2026-02-18,14:51:00,2468,2474.9,2465.2,2471,65302
2026-02-18,14:54:00,2470,2472,2466,2469.3,50299
2026-02-18,14:57:00,2470.5,2474.9,2466.3,2471,45587
2026-02-18,15:00:00,2472.1,2478.9,2471,2478.9,177746
2026-02-18,15:03:00,2478.9,2478.9,2478.9,2478.9,21402
2026-02-18,15:06:00,2478.9,2478.9,2478.9,2478.9,6772
2026-02-18,15:09:00,2478.9,2478.9,2478.9,2478.9,5099
