date,time,open,high,low,close,volume
2026-02-16,03:45:00,814,814.6,783.85,783.85,9563
2026-02-16,03:48:00,790.3,792.25,789,789,3941
2026-02-16,03:51:00,788,791.55,786.3,788.25,3892
2026-02-16,03:54:00,788.25,792,786.5,790.65,5890
2026-02-16,03:57:00,791.2,793.9,790.55,792.85,736
2026-02-16,04:00:00,792.85,798.25,792.85,798.25,2896
2026-02-16,04:03:00,797.25,800.9,795.65,800.9,3197
2026-02-16,04:06:00,800,807.2,798.5,806.3,4701
2026-02-16,04:09:00,806.3,806.6,800.15,805.05,3654
2026-02-16,04:12:00,805.05,805.05,801.15,802.35,1465
2026-02-16,04:15:00,802.35,806.2,801.8,804,1411
2026-02-16,04:18:00,804,804,800.25,800.25,634
2026-02-16,04:21:00,800.25,802.95,798.25,802.95,2404
2026-02-16,04:24:00,802.95,802.95,800.35,800.35,723
2026-02-16,04:27:00,800.35,805.1,800.35,804,735
2026-02-16,04:30:00,804.25,804.5,803.1,803.1,332
2026-02-16,04:33:00,803.1,803.1,801.1,802,639
2026-02-16,04:36:00,802,802,800.35,800.35,340
2026-02-16,04:39:00,800,800.3,798.1,799.2,1887
2026-02-16,04:42:00,799.2,799.2,795.05,797.15,1218
2026-02-16,04:45:00,796.15,796.75,795.05,795.05,846
2026-02-16,04:48:00,795.05,795.05,792,793.15,316
2026-02-16,04:51:00,794.35,797,794.35,794.4,837
2026-02-16,04:54:00,794.4,795.15,793,793,220
2026-02-16,04:57:00,793,794.05,793,794.05,44
2026-02-16,05:00:00,794,794,792.55,794,360
2026-02-16,05:03:00,794,794.75,794,794.65,379
2026-02-16,05:06:00,794.65,795.4,794.65,795,258
2026-02-16,05:09:00,794.65,794.65,793,794.35,666
2026-02-16,05:12:00,794.35,794.55,793,793,137
2026-02-16,05:15:00,793,793.75,792.55,792.8,748
2026-02-16,05:18:00,792.8,792.85,792.75,792.8,22
2026-02-16,05:21:00,792.8,792.85,792.8,792.8,90
2026-02-16,05:24:00,792.8,792.8,790.65,790.7,302
2026-02-16,05:27:00,790.7,792.05,790.15,791.85,671
2026-02-16,05:30:00,791.85,791.85,790.9,791.85,438
2026-02-16,05:33:00,791.85,793.35,791.85,793.35,181
2026-02-16,05:36:00,793.35,795.3,793.35,795.3,126
2026-02-16,05:39:00,795.3,795.85,794.95,795.7,384
2026-02-16,05:42:00,795.7,798.95,795,797.95,423
2026-02-16,05:45:00,797.65,798.2,796.35,798.2,390
2026-02-16,05:48:00,798.2,798.25,798.2,798.25,107
2026-02-16,05:51:00,798.25,798.25,796,796,161
2026-02-16,05:54:00,796,796,789.8,791.1,3163
2026-02-16,05:57:00,791.1,791.15,790,790,607
2026-02-16,06:00:00,790,790.85,790,790.25,75
2026-02-16,06:03:00,790.9,792.05,790.7,791.75,454
2026-02-16,06:06:00,791.75,792,791.6,792,62
2026-02-16,06:09:00,792,792,789.45,789.45,685
2026-02-16,06:12:00,789.45,791.2,789,791.2,864
2026-02-16,06:15:00,791.2,791.2,790.05,790.95,18
2026-02-16,06:18:00,790.95,790.95,780.05,782.5,7947
2026-02-16,06:21:00,782.5,782.6,780.5,780.5,1223
2026-02-16,06:24:00,781.4,782.2,780.5,782.2,1098
2026-02-16,06:27:00,782.2,782.2,780.5,781.75,477
2026-02-16,06:30:00,781.75,782.45,780.5,782.45,709
2026-02-16,06:33:00,782.45,783.1,782.05,782.3,283
2026-02-16,06:36:00,782.3,785.2,782.3,782.35,1435
2026-02-16,06:39:00,782.35,782.35,775,779.35,3070
2026-02-16,06:42:00,779.35,779.95,778,779.95,331
2026-02-16,06:45:00,779.95,779.95,776.7,778.95,1081
2026-02-16,06:48:00,778.95,780.2,778.85,780.2,192
2026-02-16,06:51:00,780.2,780.2,778.85,778.85,330
2026-02-16,06:54:00,778.85,779.7,777.55,779.2,491
2026-02-16,06:57:00,779.2,779.2,777.55,777.65,294
2026-02-16,07:00:00,777.65,784.2,777.65,781.05,775
2026-02-16,07:03:00,781.2,783.9,781.2,782,426
2026-02-16,07:06:00,782,783.05,782,782,123
2026-02-16,07:09:00,782,782,782,782,403
2026-02-16,07:12:00,782,783.7,782,783.7,282
2026-02-16,07:15:00,785.35,787.9,785.35,787.6,1607
2026-02-16,07:18:00,787.6,789.65,786.05,786.05,1383
2026-02-16,07:21:00,786.05,786.05,786.05,786.05,2
2026-02-16,07:24:00,787.5,787.75,785.35,785.35,470
2026-02-16,07:27:00,785.35,785.35,783.1,783.1,44
2026-02-16,07:30:00,783.1,784.3,783.1,784.2,43
2026-02-16,07:33:00,784.2,784.2,783.55,783.6,2
2026-02-16,07:36:00,783.6,784.35,783,783.3,401
2026-02-16,07:39:00,783.3,784.55,783.3,784,63
2026-02-16,07:42:00,784,784,780.55,780.55,1632
2026-02-16,07:45:00,780.45,781.55,780.45,780.8,123
2026-02-16,07:48:00,780.8,782.85,780.8,782.85,283
2026-02-16,07:51:00,782.85,782.85,781.5,781.5,43
2026-02-16,07:54:00,781.5,781.6,781.5,781.6,86
2026-02-16,07:57:00,781.6,782.7,781.6,782.55,236
2026-02-16,08:00:00,782.75,782.75,781.8,781.8,158
2026-02-16,08:03:00,781.8,782.45,781.8,782.45,10
2026-02-16,08:06:00,782.45,782.45,782.4,782.4,0
2026-02-16,08:09:00,782.4,782.4,781.05,781.05,111
2026-02-16,08:12:00,781.05,782.15,781.05,782.15,315
2026-02-16,08:15:00,782.15,782.15,780,780,339
2026-02-16,08:18:00,780,780.15,779,780.15,250
2026-02-16,08:21:00,781,782.8,780.75,781.05,2496
2026-02-16,08:24:00,781.05,782.2,780.45,782.2,207
2026-02-16,08:27:00,782.2,782.2,780.5,780.85,45
2026-02-16,08:30:00,782.25,784.35,782.15,783,1083
2026-02-16,08:33:00,783,784.4,782.65,782.65,278
2026-02-16,08:36:00,780.9,782.25,780.9,782.25,149
2026-02-16,08:39:00,780.95,780.95,780.95,780.95,7
2026-02-16,08:42:00,780.95,783.9,780.95,783.9,570
2026-02-16,08:45:00,782.65,782.65,781,781.05,343
2026-02-16,08:48:00,781.05,781.95,781.05,781.95,107
2026-02-16,08:51:00,781.95,782.45,781.95,782.45,115
2026-02-16,08:54:00,782.3,782.45,780,780,737
2026-02-16,08:57:00,779.15,781.45,779.15,781.45,51
2026-02-16,09:00:00,781.45,781.45,780.55,780.55,52
2026-02-16,09:03:00,780.55,786,780.55,786,629
2026-02-16,09:06:00,786,788.5,785.25,785.25,654
2026-02-16,09:09:00,785.25,787,784.5,785,1091
2026-02-16,09:12:00,785,785,783.1,783.35,201
2026-02-16,09:15:00,783.35,786.6,783.35,785.35,1174
2026-02-16,09:18:00,785.35,787,783,785,1171
2026-02-16,09:21:00,785,785,783.1,783.25,134
2026-02-16,09:24:00,783.25,783.25,781.4,782.3,127
2026-02-16,09:27:00,782.45,787.9,782.2,785.55,2253
2026-02-16,09:30:00,785.55,787.7,785,787.45,1636
2026-02-16,09:33:00,786.45,786.55,785.5,786.3,320
2026-02-16,09:36:00,786.3,787.45,786.3,787,715
2026-02-16,09:39:00,787,788.4,785.6,787,1429
2026-02-16,09:42:00,787,788.6,787,787.4,544
2026-02-16,09:45:00,787.4,788.9,787.35,787.35,1981
2026-02-16,09:48:00,787.95,787.95,783.05,783.15,2611
2026-02-16,09:51:00,783.15,783.5,779,779,4209
2026-02-16,09:54:00,775,777.3,765.3,772.5,9215
2026-02-16,09:57:00,772.5,795.9,772.5,782,5737
2026-02-17,03:45:00,779,799.65,779,793,6694
2026-02-17,03:48:00,793,796,791,791.6,3959
2026-02-17,03:51:00,791.6,791.6,787.5,788,2421
2026-02-17,03:54:00,788,789.05,787.15,788,679
2026-02-17,03:57:00,788,789,785.55,789,1184
2026-02-17,04:00:00,789,790.1,788.2,790.1,1778
2026-02-17,04:03:00,790.1,797.15,790.1,793.75,4395
2026-02-17,04:06:00,793.75,793.75,790.7,792.7,743
2026-02-17,04:09:00,791,791.35,788.7,790,1799
2026-02-17,04:12:00,790,792.8,790,791.7,1057
2026-02-17,04:15:00,791.7,792.5,790,790,466
2026-02-17,04:18:00,790,790,788.1,789.9,282
2026-02-17,04:21:00,789.85,793,788.8,790.95,642
2026-02-17,04:24:00,790.95,793.5,790.95,793.3,986
2026-02-17,04:27:00,793.3,798,792.2,796.4,1928
2026-02-17,04:30:00,796.4,796.4,794.85,794.85,547
2026-02-17,04:33:00,794.85,794.85,790.85,790.85,1330
2026-02-17,04:36:00,790.85,791.3,789.2,789.2,346
2026-02-17,04:39:00,789.2,790.95,789.2,789.6,348
2026-02-17,04:42:00,789.6,791,789.6,791,5
2026-02-17,04:45:00,791,792.5,789.6,791.05,913
2026-02-17,04:48:00,791.05,791.05,789.55,789.6,112
2026-02-17,04:51:00,789.6,791,789.55,789.65,94
2026-02-17,04:54:00,789.65,792.4,789,792.4,902
2026-02-17,04:57:00,791.3,793.95,791.3,793.9,399
2026-02-17,05:00:00,793.9,793.9,793,793,35
2026-02-17,05:03:00,791.85,795,791.55,793.55,764
2026-02-17,05:06:00,793.55,794.85,793.55,793.9,77
2026-02-17,05:09:00,793.95,794.7,793.55,794.6,68
2026-02-17,05:12:00,792.85,794.7,792.85,794.7,669
2026-02-17,05:15:00,794.7,794.7,794,794,763
2026-02-17,05:18:00,794,794.05,792.1,792.9,1082
2026-02-17,05:21:00,792.9,794.25,792.9,794.25,43
2026-02-17,05:24:00,794.25,800.9,794.25,800,2737
2026-02-17,05:27:00,800,801.5,795.85,796.55,1467
2026-02-17,05:30:00,796.55,796.55,793,793.7,1679
2026-02-17,05:33:00,793.7,796,792.55,795.2,416
2026-02-17,05:36:00,794.3,795.95,792.1,792.1,308
2026-02-17,05:39:00,792.1,793.95,792.1,792.15,2077
2026-02-17,05:42:00,792.15,793.9,792.15,793.9,89
2026-02-17,05:45:00,793.9,793.9,792.4,792.4,25
2026-02-17,05:48:00,792.4,792.4,790.55,791.5,479
2026-02-17,05:51:00,791.5,792.3,790.5,790.55,610
2026-02-17,05:54:00,790.55,792,790.35,792,349
2026-02-17,05:57:00,792,796.4,792,794,385
2026-02-17,06:00:00,794,794.85,794,794.85,195
2026-02-17,06:03:00,794.85,795.05,792,792,2125
2026-02-17,06:06:00,792,793.15,791.6,792.6,137
2026-02-17,06:09:00,792.6,792.6,791.6,792.55,61
2026-02-17,06:12:00,792.55,792.9,792.5,792.65,176
2026-02-17,06:15:00,792.65,792.75,791.3,791.45,65
2026-02-17,06:18:00,792.6,795.8,791.2,794.5,410
2026-02-17,06:21:00,794.5,794.5,790.8,793.2,1284
2026-02-17,06:24:00,793.2,793.2,793.2,793.2,6
2026-02-17,06:27:00,793.2,793.2,788.9,790.25,6305
2026-02-17,06:30:00,790.25,794.15,790.25,794.15,823
2026-02-17,06:33:00,793.65,794,791.5,791.5,290
2026-02-17,06:36:00,793.4,793.65,792,792.7,296
2026-02-17,06:39:00,794,794,794,794,171
2026-02-17,06:42:00,794,794.25,792,792.8,537
2026-02-17,06:45:00,792.8,792.8,792.8,792.8,27
2026-02-17,06:48:00,792.8,792.8,792.8,792.8,50
2026-02-17,06:51:00,792.8,792.8,792.8,792.8,25
2026-02-17,06:54:00,792.8,794.15,792.8,793.8,302
2026-02-17,06:57:00,793.8,793.8,793.8,793.8,0
2026-02-17,07:00:00,793.8,793.8,792.1,792.2,120
2026-02-17,07:03:00,792.2,794,792.2,793.55,165
2026-02-17,07:06:00,792.1,793.05,792.1,793.05,108
2026-02-17,07:09:00,793.05,793.6,793.05,793.6,101
2026-02-17,07:12:00,792.1,793.45,792.1,793.45,105
2026-02-17,07:15:00,793.45,793.7,792.55,792.55,57
2026-02-17,07:18:00,792.55,792.55,792.55,792.55,255
2026-02-17,07:21:00,792.55,792.55,792.1,792.1,1
2026-02-17,07:24:00,792.1,792.8,790.4,791.55,1310
2026-02-17,07:27:00,791.55,792.65,791.55,792.65,88
2026-02-17,07:30:00,792.6,792.6,792.6,792.6,155
2026-02-17,07:33:00,792.6,792.6,790,790,301
2026-02-17,07:36:00,790,790.2,790,790.2,196
2026-02-17,07:39:00,790.2,792.4,790.2,790.3,242
2026-02-17,07:42:00,790.3,791.8,790.3,791.5,341
2026-02-17,07:45:00,791.5,791.5,791.25,791.25,1
2026-02-17,07:48:00,789,790.15,789,790.15,392
2026-02-17,07:51:00,790.15,790.15,790.15,790.15,0
2026-02-17,07:54:00,791.1,791.1,790.2,790.5,24
2026-02-17,07:57:00,791.35,791.5,790.75,790.75,93
2026-02-17,08:00:00,790.75,791.5,790.65,791.5,304
2026-02-17,08:03:00,791.5,791.5,788,789.35,1933
2026-02-17,08:06:00,789.35,789.5,788.15,789.5,12
2026-02-17,08:09:00,789.5,789.95,788.1,789.95,180
2026-02-17,08:12:00,789.95,789.95,789.85,789.85,7
2026-02-17,08:15:00,789.85,789.85,788.4,788.4,148
2026-02-17,08:18:00,788.4,788.4,784,784,1503
2026-02-17,08:21:00,783.1,783.1,781.1,783,825
2026-02-17,08:24:00,783.85,783.85,782.25,782.25,172
2026-02-17,08:27:00,782.25,782.25,782.25,782.25,356
2026-02-17,08:30:00,782.25,784,782.25,783.75,80
2026-02-17,08:33:00,783.75,784.75,783.75,784.25,146
2026-02-17,08:36:00,784.25,785.8,784.25,785.8,77
2026-02-17,08:39:00,785.8,787.95,785.5,786.7,446
2026-02-17,08:42:00,786.7,789.25,786.7,788.5,355
2026-02-17,08:45:00,788.5,788.95,788.45,788.95,680
2026-02-17,08:48:00,788.95,789.25,788.95,789.25,101
2026-02-17,08:51:00,789.25,789.25,785.5,785.5,640
2026-02-17,08:54:00,785,785,784,784.05,247
2026-02-17,08:57:00,784.05,784.05,781.65,783.05,1766
2026-02-17,09:00:00,783.05,783.05,782.9,782.9,71
2026-02-17,09:03:00,782.9,782.9,780.2,780.2,252
2026-02-17,09:06:00,783.05,783.05,780.25,782.9,432
2026-02-17,09:09:00,782.9,783.45,781.85,782,372
2026-02-17,09:12:00,782,785.15,782,783.25,591
2026-02-17,09:15:00,783.25,784.7,782.75,783.6,75
2026-02-17,09:18:00,783.6,783.6,783.6,783.6,0
2026-02-17,09:21:00,783.6,785.9,783.6,785.9,165
2026-02-17,09:24:00,785.9,785.95,785,785,36
2026-02-17,09:27:00,783.65,783.7,783.65,783.65,234
2026-02-17,09:30:00,783.65,786,783.65,786,517
2026-02-17,09:33:00,786,789.3,785,785.7,1676
2026-02-17,09:36:00,785.05,788,785,786,640
2026-02-17,09:39:00,786,787.4,785.65,785.8,271
2026-02-17,09:42:00,785.8,785.8,783.05,783.05,1232
2026-02-17,09:45:00,783.05,783.05,781.85,781.9,689
2026-02-17,09:48:00,781.9,782.6,780.8,780.9,3003
2026-02-17,09:51:00,780.85,782.95,779.95,779.95,1285
2026-02-17,09:54:00,779.75,779.75,773.55,778.95,3100
2026-02-17,09:57:00,778.95,790,778.35,790,2065
2026-02-18,03:45:00,794,815.3,785.1,807.25,10224
2026-02-18,03:48:00,807.25,819,801.55,802.5,14208
2026-02-18,03:51:00,801.45,807.15,801.45,805.65,4852
2026-02-18,03:54:00,803.55,806.8,802.15,803.9,1212
2026-02-18,03:57:00,805.1,808.95,804.55,808.3,852
2026-02-18,04:00:00,808.3,808.8,805.4,805.4,2983
2026-02-18,04:03:00,804.2,806.75,800.6,801.05,2810
2026-02-18,04:06:00,801.05,816.4,801.05,814.45,16535
2026-02-18,04:09:00,814.45,814.45,807.6,807.6,2262
2026-02-18,04:12:00,807.6,809.8,806.65,808.9,1781
2026-02-18,04:15:00,808.9,810.2,806.45,808.5,1536
2026-02-18,04:18:00,810.15,823.9,809.35,822.15,13783
2026-02-18,04:21:00,821.9,822.75,814.65,820.3,11014
2026-02-18,04:24:00,820.3,823,818,819.7,4460
2026-02-18,04:27:00,820,821.4,811.9,817,5086
2026-02-18,04:30:00,817,823,816.5,822,5332
2026-02-18,04:33:00,822,822,819.45,819.95,2692
2026-02-18,04:36:00,820,827.45,819.1,827.45,6031
2026-02-18,04:39:00,827.45,833.5,826.15,828.35,12532
2026-02-18,04:42:00,828.35,835.65,827.55,833.15,11653
2026-02-18,04:45:00,834,836,828.4,831.65,10478
2026-02-18,04:48:00,834.15,847.75,832.75,844,24143
2026-02-18,04:51:00,843.5,847,841.45,841.45,8700
2026-02-18,04:54:00,841,848.7,841,842.05,11867
2026-02-18,04:57:00,842.05,842.05,836,839.8,7195
2026-02-18,05:00:00,839.8,841.25,838.5,839.7,2824
2026-02-18,05:03:00,839.15,842,836.7,838.5,3609
2026-02-18,05:06:00,838.5,841,837.45,839.05,2874
2026-02-18,05:09:00,839.05,839.05,835.15,836.25,6530
2026-02-18,05:12:00,836.25,838.3,836,838,1647
2026-02-18,05:15:00,836.55,837.75,836,837.6,894
2026-02-18,05:18:00,837.6,839.85,835.6,839.85,4180
2026-02-18,05:21:00,839.85,849.9,839.1,848.7,15808
2026-02-18,05:24:00,848.7,854,846.25,853,21026
2026-02-18,05:27:00,853,853,845.85,847.8,7792
2026-02-18,05:30:00,847.2,847.95,845.45,845.75,1388
2026-02-18,05:33:00,845.75,845.75,840.35,842.5,8125
2026-02-18,05:36:00,842.5,844.9,841.05,843.8,3054
2026-02-18,05:39:00,843.8,844.35,835.5,839.2,4944
2026-02-18,05:42:00,839.2,844.8,837,843,7983
2026-02-18,05:45:00,843,844.75,841.55,842.35,2336
2026-02-18,05:48:00,842.35,844.9,841.85,844.75,5556
2026-02-18,05:51:00,844.25,844.55,841.2,843.9,1958
2026-02-18,05:54:00,843.9,843.95,841.4,841.75,908
2026-02-18,05:57:00,841.75,844.85,837.7,843,2976
2026-02-18,06:00:00,843,847.85,843,845.95,5669
2026-02-18,06:03:00,845.95,849,845.95,849,2092
2026-02-18,06:06:00,849,852,845.45,852,11726
2026-02-18,06:09:00,852,858,850,855.2,16988
2026-02-18,06:12:00,854.95,855,851,853.8,4552
2026-02-18,06:15:00,853.8,854.95,846.4,847,7219
2026-02-18,06:18:00,847,849.9,845.35,845.35,5369
2026-02-18,06:21:00,845.35,848.8,843,846.65,4564
2026-02-18,06:24:00,846.65,848.2,845.75,846,1806
2026-02-18,06:27:00,846,848.45,845.1,846,1840
2026-02-18,06:30:00,846,852.25,846,850.05,4560
2026-02-18,06:33:00,850.05,851,847.25,849.05,2045
2026-02-18,06:36:00,849.05,850.55,847.05,848,837
2026-02-18,06:39:00,848,856.45,847.2,856.45,8165
2026-02-18,06:42:00,856.45,887.7,855.35,881,71811
2026-02-18,06:45:00,881,882.9,875.3,877,15876
2026-02-18,06:48:00,877,878.2,868,872,16194
2026-02-18,06:51:00,872,873,867.5,873,11981
2026-02-18,06:54:00,873,883,871.5,882,16280
2026-02-18,06:57:00,882,882.9,872.45,874.95,15781
2026-02-18,07:00:00,874.95,877.1,871.4,875,12318
2026-02-18,07:03:00,875,875,872.15,874.25,3034
2026-02-18,07:06:00,874.25,875,870,870,8692
2026-02-18,07:09:00,870.25,874.5,870.2,871.45,6278
2026-02-18,07:12:00,871.45,880,871.35,877.5,10020
2026-02-18,07:15:00,877.85,877.85,873.65,875.35,6275
2026-02-18,07:18:00,875.35,875.35,872,874,2984
2026-02-18,07:21:00,873.5,874.1,872.15,872.15,2276
2026-02-18,07:24:00,872,873.55,870,872.1,7764
2026-02-18,07:27:00,872.1,874,870.5,871,2225
2026-02-18,07:30:00,871.95,875,871.45,871.45,3332
2026-02-18,07:33:00,872.05,873.3,871.05,871.05,1559
2026-02-18,07:36:00,871.05,872,870.75,871.45,1339
2026-02-18,07:39:00,870.4,872.7,870,871.5,3371
2026-02-18,07:42:00,871.5,871.5,863,863.2,12840
2026-02-18,07:45:00,863.2,866.5,855.05,865.85,24558
2026-02-18,07:48:00,864.3,865.95,860,865.2,6807
2026-02-18,07:51:00,865,865,860,860,2331
2026-02-18,07:54:00,860,863,858,858.4,6411
2026-02-18,07:57:00,858.4,862,856.2,858,5738
2026-02-18,08:00:00,858,860,856.55,859.1,2834
2026-02-18,08:03:00,859.1,860,857.2,858.25,1296
2026-02-18,08:06:00,858.25,861,857.4,861,3086
2026-02-18,08:09:00,861,863.85,859.85,863,3592
2026-02-18,08:12:00,863,869.35,861.1,867.3,10472
2026-02-18,08:15:00,867.3,875.65,867.3,868.35,18097
2026-02-18,08:18:00,868.3,874,866.45,870,7334
2026-02-18,08:21:00,869.3,873,867.8,870,4230
2026-02-18,08:24:00,870,874.4,870,872,5309
2026-02-18,08:27:00,872,874.2,870.7,873.95,6035
2026-02-18,08:30:00,874.35,874.35,868.15,870.3,6882
2026-02-18,08:33:00,870.3,870.35,861.5,863.6,10923
2026-02-18,08:36:00,863.6,867,863.15,864.35,5517
2026-02-18,08:39:00,864.1,865,862,863,2434
2026-02-18,08:42:00,863,866.8,862.5,866.65,3337
2026-02-18,08:45:00,866.65,866.7,862.55,863.25,1532
2026-02-18,08:48:00,867.15,867.15,862.55,863.55,3425
2026-02-18,08:51:00,863.55,863.8,862.55,863.5,1684
2026-02-18,08:54:00,863.5,863.5,855,856.4,15973
2026-02-18,08:57:00,856.4,858.9,856.4,858.9,3331
2026-02-18,09:00:00,857.9,859.5,855.95,859.4,10145
2026-02-18,09:03:00,859.4,862.5,859.4,860.65,1287
2026-02-18,09:06:00,860.65,861.45,856,858.2,4501
2026-02-18,09:09:00,858.05,859.9,857.1,858.95,2681
2026-02-18,09:12:00,858.95,859.6,858.4,859.3,971
2026-02-18,09:15:00,859.35,866,858.95,865,8916
2026-02-18,09:18:00,865.05,874.8,864.15,870.6,24422
2026-02-18,09:21:00,869.85,871.6,865.1,865.4,5558
2026-02-18,09:24:00,865.4,869.1,865.4,868.65,2715
2026-02-18,09:27:00,868.65,868.65,865.7,866.25,1989
2026-02-18,09:30:00,866.25,869.1,861.75,862.55,7250
2026-02-18,09:33:00,862.55,864.95,862.55,863.05,7678
2026-02-18,09:36:00,863.05,865,861.3,865,5271
2026-02-18,09:39:00,865,873.5,865,873.5,12357
2026-02-18,09:42:00,873.5,873.5,869.1,869.1,7902
2026-02-18,09:45:00,870.3,870.85,861.55,861.55,11114
2026-02-18,09:48:00,861.55,870,860.35,869.25,9569
2026-02-18,09:51:00,869.15,869.95,865.5,866.6,5712
2026-02-18,09:54:00,866.6,867,852.5,862.5,27068
2026-02-18,09:57:00,863.65,864,856.25,860,9022
