date,time,open,high,low,close,volume
2026-02-16,03:45:00,10.85,10.87,10.6,10.6,215386
2026-02-16,03:48:00,10.63,10.73,10.58,10.7,427653
2026-02-16,03:51:00,10.73,10.73,10.65,10.67,65557
2026-02-16,03:54:00,10.67,10.67,10.63,10.64,60892
2026-02-16,03:57:00,10.65,10.72,10.63,10.72,10759
2026-02-16,04:00:00,10.72,10.8,10.7,10.8,155161
2026-02-16,04:03:00,10.8,11.13,10.76,11.1,557933
2026-02-16,04:06:00,11.03,11.15,11.01,11.09,345196
2026-02-16,04:09:00,11.09,11.11,11.01,11.01,314842
2026-02-16,04:12:00,11.01,11.07,11,11,200489
2026-02-16,04:15:00,11.03,11.03,10.95,10.99,275693
2026-02-16,04:18:00,10.99,11.02,10.98,10.98,111190
2026-02-16,04:21:00,10.98,10.98,10.91,10.91,65936
2026-02-16,04:24:00,10.91,10.94,10.9,10.93,42977
2026-02-16,04:27:00,10.93,10.98,10.9,10.98,98696
2026-02-16,04:30:00,10.98,10.98,10.95,10.96,8604
2026-02-16,04:33:00,10.96,10.97,10.93,10.93,35449
2026-02-16,04:36:00,10.97,10.98,10.9,10.92,122869
2026-02-16,04:39:00,10.92,10.97,10.91,10.94,133238
2026-02-16,04:42:00,10.94,11.01,10.94,10.95,294305
2026-02-16,04:45:00,10.96,10.97,10.94,10.96,24567
2026-02-16,04:48:00,10.96,10.98,10.96,10.98,11635
2026-02-16,04:51:00,10.98,11,10.96,10.99,112734
2026-02-16,04:54:00,10.99,11,10.97,10.97,6706
2026-02-16,04:57:00,10.97,11,10.95,10.97,37193
2026-02-16,05:00:00,10.97,10.98,10.94,10.95,25570
2026-02-16,05:03:00,10.95,10.97,10.95,10.96,2255
2026-02-16,05:06:00,10.96,10.98,10.94,10.98,57802
2026-02-16,05:09:00,10.98,10.98,10.95,10.98,27506
2026-02-16,05:12:00,10.98,10.98,10.92,10.97,73695
2026-02-16,05:15:00,10.95,11,10.95,11,95409
2026-02-16,05:18:00,11.02,11.02,10.96,10.97,24909
2026-02-16,05:21:00,10.98,10.98,10.92,10.96,28916
2026-02-16,05:24:00,10.96,10.96,10.93,10.94,5551
2026-02-16,05:27:00,10.94,10.95,10.93,10.93,27191
2026-02-16,05:30:00,10.93,10.95,10.91,10.91,58589
2026-02-16,05:33:00,10.94,10.94,10.91,10.91,4759
2026-02-16,05:36:00,10.91,10.93,10.91,10.93,34981
2026-02-16,05:39:00,10.93,10.93,10.92,10.92,1456
2026-02-16,05:42:00,10.92,10.92,10.9,10.92,51683
2026-02-16,05:45:00,10.92,10.92,10.86,10.9,125630
2026-02-16,05:48:00,10.9,10.91,10.89,10.91,643
2026-02-16,05:51:00,10.91,10.91,10.89,10.89,7614
