date,time,open,high,low,close,volume
2026-02-16,03:45:00,3094,3095,3043,3062.3,48237
2026-02-16,03:48:00,3063,3070,3055,3058.9,15939
2026-02-16,03:51:00,3059.6,3069.7,3059.6,3068.2,7397
2026-02-16,03:54:00,3067.4,3070.1,3056,3057.9,10071
2026-02-16,03:57:00,3057.9,3061.9,3055,3060.7,5528
2026-02-16,04:00:00,3059.1,3071.4,3059,3070.3,6395
2026-02-16,04:03:00,3068.4,3072.7,3066.8,3069.9,7310
2026-02-16,04:06:00,3068.2,3071,3057.2,3065.3,6589
2026-02-16,04:09:00,3065.3,3065.3,3058.1,3060.3,3570
2026-02-16,04:12:00,3060,3062.8,3055,3057.8,3935
2026-02-16,04:15:00,3058,3060.8,3052.6,3053.2,6209
2026-02-16,04:18:00,3053.1,3055.6,3050.4,3055.6,4482
2026-02-16,04:21:00,3055,3065.3,3052,3055.1,6146
2026-02-16,04:24:00,3056.5,3062.5,3055,3062.1,3931
2026-02-16,04:27:00,3059,3070.1,3058.1,3068.5,3302
2026-02-16,04:30:00,3068.5,3071.9,3067.5,3068.3,3532
2026-02-16,04:33:00,3068.3,3069.8,3063,3065.2,1945
2026-02-16,04:36:00,3067,3069.2,3065,3067.3,1443
2026-02-16,04:39:00,3068.7,3071.6,3067.3,3069,2305
2026-02-16,04:42:00,3068.9,3077.7,3068,3074.3,4786
2026-02-16,04:45:00,3074.4,3078.8,3072.6,3073.2,3260
2026-02-16,04:48:00,3073.2,3079.2,3072,3074.7,3078
2026-02-16,04:51:00,3074.7,3078.7,3073,3076.8,1795
2026-02-16,04:54:00,3076.8,3076.8,3071,3071,1939
2026-02-16,04:57:00,3071,3073,3070.5,3073,1109
2026-02-16,05:00:00,3072.8,3073.6,3071,3072.6,737
2026-02-16,05:03:00,3072.6,3073.7,3066.9,3068.4,2442
2026-02-16,05:06:00,3068.4,3069.7,3066.5,3066.5,968
2026-02-16,05:09:00,3066,3068,3065,3067.5,1699
2026-02-16,05:12:00,3067.5,3069.6,3065,3065.4,463
2026-02-16,05:15:00,3065,3068,3060,3067.9,4691
2026-02-16,05:18:00,3067.9,3067.9,3062.8,3062.8,636
2026-02-16,05:21:00,3062.8,3065.2,3061,3063,605
2026-02-16,05:24:00,3063,3063,3061,3062,845
2026-02-16,05:27:00,3062,3066.9,3061.5,3065.6,952
2026-02-16,05:30:00,3065.6,3079,3061.7,3077,5146
2026-02-16,05:33:00,3075,3088.2,3072.3,3084.2,9063
2026-02-16,05:36:00,3084.2,3104.7,3080.6,3102.1,13252
2026-02-16,05:39:00,3102.1,3105,3096.1,3099.8,9543
2026-02-16,05:42:00,3099.8,3111.9,3098.3,3106,8777
2026-02-16,05:45:00,3105,3114,3105,3111.1,11522
2026-02-16,05:48:00,3111,3113.6,3106,3107,6175
2026-02-16,05:51:00,3107,3107,3102.2,3105.1,5174
2026-02-16,05:54:00,3106.6,3108,3101,3101,4602
2026-02-16,05:57:00,3101,3104.5,3100,3104.5,3642
2026-02-16,06:00:00,3104.5,3104.5,3101.2,3102.8,1332
2026-02-16,06:03:00,3102.8,3107.9,3102.8,3106.2,1983
2026-02-16,06:06:00,3106.2,3106.2,3103,3105,1273
2026-02-16,06:09:00,3105,3107.9,3103,3106.3,2489
2026-02-16,06:12:00,3106.3,3107.9,3100,3100,1897
2026-02-16,06:15:00,3100.1,3105.7,3086.1,3087,17046
2026-02-16,06:18:00,3087,3089.7,3082.3,3082.3,3009
2026-02-16,06:21:00,3082.3,3085.4,3077,3079.4,3929
2026-02-16,06:24:00,3078.8,3083.7,3078.8,3081,3226
2026-02-16,06:27:00,3081,3088.5,3080.2,3085,1390
2026-02-16,06:30:00,3085,3086.7,3081.9,3084.7,1598
2026-02-16,06:33:00,3085,3086.4,3082,3082.5,1303
2026-02-16,06:36:00,3082.5,3083.7,3076,3076.1,3591
2026-02-16,06:39:00,3076.1,3084.9,3076.1,3084,1876
2026-02-16,06:42:00,3084,3084.9,3079.7,3082.4,932
2026-02-16,06:45:00,3080.2,3081.9,3078,3081.5,779
2026-02-16,06:48:00,3083,3085,3082.3,3083.1,542
2026-02-16,06:51:00,3083.1,3084.9,3082.7,3082.7,852
2026-02-16,06:54:00,3082.7,3085,3082.1,3085,536
2026-02-16,06:57:00,3085,3085.1,3082,3083,417
2026-02-16,07:00:00,3083.9,3088,3082.1,3087.9,899
2026-02-16,07:03:00,3087.9,3088,3083.5,3083.5,629
2026-02-16,07:06:00,3083.5,3084.3,3080.9,3082.6,515
2026-02-16,07:09:00,3082.6,3084,3080.2,3084,398
2026-02-16,07:12:00,3084,3086.7,3084,3085,1109
2026-02-16,07:15:00,3085,3085,3083.1,3084.5,758
2026-02-16,07:18:00,3084.5,3087,3084,3085,973
2026-02-16,07:21:00,3085,3085.5,3076.1,3078,1307
2026-02-16,07:24:00,3080,3082,3074.6,3074.6,3728
2026-02-16,07:27:00,3074.6,3078,3074.6,3077.2,1533
2026-02-16,07:30:00,3077.2,3080,3075.7,3077,420
2026-02-16,07:33:00,3077,3079,3071.5,3076.1,2515
2026-02-16,07:36:00,3076.2,3076.2,3070.8,3071.2,1817
2026-02-16,07:39:00,3071.2,3075,3071.2,3075,877
2026-02-16,07:42:00,3075,3075,3071,3072,752
2026-02-16,07:45:00,3072,3075,3071.2,3074.8,890
2026-02-16,07:48:00,3074.8,3075,3071.4,3074.4,1977
2026-02-16,07:51:00,3075,3075,3072.4,3075,1153
2026-02-16,07:54:00,3075,3075,3073.3,3074,1378
2026-02-16,07:57:00,3075,3078.5,3072.3,3078,1787
2026-02-16,08:00:00,3078,3078,3071,3071,1267
