date,time,open,high,low,close,volume
2026-02-16,03:45:00,175.8,175.8,172,172.69,2609
2026-02-16,03:48:00,172.71,173.16,172.64,172.78,1068
2026-02-16,03:51:00,172.78,173.67,172.78,173.63,1697
2026-02-16,03:54:00,173.63,173.64,173.31,173.31,533
2026-02-16,03:57:00,173.31,173.65,173.19,173.65,1302
2026-02-16,04:00:00,173.65,174.29,173.65,174.2,807
2026-02-16,04:03:00,174.2,174.67,174.15,174.67,156
2026-02-16,04:06:00,174.33,174.33,173.96,174.17,364
2026-02-16,04:09:00,174.17,174.17,173.74,173.81,1207
2026-02-16,04:12:00,173.81,173.81,173.49,173.49,449
2026-02-16,04:15:00,173.49,173.49,173.49,173.49,0
2026-02-16,04:18:00,173.49,173.49,173,173,114
2026-02-16,04:21:00,172.81,173.08,172.64,173.08,798
2026-02-16,04:24:00,173.03,173.55,173.03,173.55,314
2026-02-16,04:27:00,173.55,173.57,173.44,173.49,169
2026-02-16,04:30:00,173.85,173.91,173.44,173.44,180
2026-02-16,04:33:00,173.44,173.74,173.44,173.74,29
2026-02-16,04:36:00,173.74,173.74,173.5,173.5,38
2026-02-16,04:39:00,173.5,173.6,173.5,173.6,13
2026-02-16,04:42:00,173.6,173.65,173.52,173.57,468
2026-02-16,04:45:00,173.57,173.95,173.29,173.95,1152
2026-02-16,04:48:00,173.95,173.95,173.38,173.86,147
2026-02-16,04:51:00,173.86,173.86,173.32,173.56,207
2026-02-16,04:54:00,173.56,173.68,173.43,173.43,64
2026-02-16,04:57:00,173.43,174.29,173.43,174.08,1994
2026-02-16,05:00:00,174.08,174.1,174.07,174.07,232
2026-02-16,05:03:00,174.07,174.07,174.03,174.04,989
2026-02-16,05:06:00,174.04,174.04,174.03,174.03,12
2026-02-16,05:09:00,174.03,174.03,173.72,173.94,31
2026-02-16,05:12:00,173.94,173.94,173.7,173.71,40
2026-02-16,05:15:00,173.69,173.69,173.69,173.69,13
2026-02-16,05:18:00,173.69,173.91,173.69,173.7,23
2026-02-16,05:21:00,173.29,173.76,173.29,173.76,267
2026-02-16,05:24:00,173.76,173.76,173.42,173.49,303
2026-02-16,05:27:00,173.74,173.79,173.41,173.44,178
2026-02-16,05:30:00,173.44,173.44,173.44,173.44,0
2026-02-16,05:33:00,173.44,173.78,173.44,173.57,134
2026-02-16,05:36:00,173.9,173.9,173.62,173.62,38
2026-02-16,05:39:00,173.62,173.93,173.6,173.6,209
2026-02-16,05:42:00,173.6,173.62,173.6,173.62,70
2026-02-16,05:45:00,174.05,174.05,173.62,173.63,684
2026-02-16,05:48:00,173.63,173.67,173.63,173.67,43
2026-02-16,05:51:00,173.67,173.76,173.34,173.76,130
2026-02-16,05:54:00,173.76,173.97,173.33,173.58,339
2026-02-16,05:57:00,173.93,173.93,173.82,173.82,32
2026-02-16,06:00:00,173.82,173.82,173.73,173.73,1
2026-02-16,06:03:00,173.73,173.73,173.5,173.55,139
2026-02-16,06:06:00,173.7,173.73,173.7,173.73,205
2026-02-16,06:09:00,173.73,173.74,173.71,173.71,51
2026-02-16,06:12:00,173.71,173.71,173.71,173.71,20
2026-02-16,06:15:00,173.71,174.29,173.65,174.29,732
2026-02-16,06:18:00,174.29,174.51,174.25,174.4,575
2026-02-16,06:21:00,174.4,174.4,174.29,174.29,1
2026-02-16,06:24:00,174.29,174.29,174.29,174.29,0
2026-02-16,06:27:00,174.29,174.39,174.29,174.32,91
2026-02-16,06:30:00,174.32,174.34,174.32,174.34,66
2026-02-16,06:33:00,174.24,174.64,174.11,174.11,211
2026-02-16,06:36:00,174.11,174.64,174.11,174.64,154
2026-02-16,06:39:00,174.8,174.8,174.8,174.8,28
2026-02-16,06:42:00,174.8,174.8,174.44,174.45,883
2026-02-16,06:45:00,174.45,174.81,174.24,174.81,105
2026-02-16,06:48:00,174.81,174.81,174.77,174.77,24
2026-02-16,06:51:00,174.57,174.74,174.56,174.74,14
2026-02-16,06:54:00,174.74,174.74,174.71,174.71,21
2026-02-16,06:57:00,174.71,174.89,174.6,174.6,122
2026-02-16,07:00:00,174.6,174.6,174.6,174.6,0
2026-02-16,07:03:00,174.6,174.77,174.6,174.77,17
2026-02-16,07:06:00,174.54,174.83,174.54,174.82,94
2026-02-16,07:09:00,174.82,174.94,174.81,174.94,95
2026-02-16,07:12:00,174.94,175.78,174.94,175.71,1831
2026-02-16,07:15:00,175.77,175.79,175.36,175.36,736
2026-02-16,07:18:00,175.36,175.5,175.17,175.17,203
2026-02-16,07:21:00,175.17,175.17,175.04,175.04,10
2026-02-16,07:24:00,175.04,175.13,175.04,175.13,5
2026-02-16,07:27:00,175.1,175.75,174.61,175.35,2091
2026-02-16,07:30:00,175.35,175.35,175.27,175.27,109
2026-02-16,07:33:00,175.27,175.27,175.13,175.13,8
2026-02-16,07:36:00,174.86,175.27,174.86,175.27,466
2026-02-16,07:39:00,175.27,175.27,175.26,175.27,46
2026-02-16,07:42:00,175.27,175.27,175.27,175.27,0
2026-02-16,07:45:00,175.27,175.48,175.27,175.48,151
2026-02-16,07:48:00,175.48,175.48,175.48,175.48,0
2026-02-16,07:51:00,175.14,175.14,175.14,175.14,200
2026-02-16,07:54:00,175.14,175.45,175.14,175.45,1
2026-02-16,07:57:00,175.45,175.45,175.45,175.45,0
2026-02-16,08:00:00,175.45,175.45,175.09,175.09,9
2026-02-16,08:03:00,175.09,175.1,175.09,175.1,121
2026-02-16,08:06:00,175.1,175.34,175.1,175.34,4
2026-02-16,08:09:00,175.34,175.34,174.98,174.98,177
2026-02-16,08:12:00,174.98,175.04,174.98,175.04,25
2026-02-16,08:15:00,175.04,175.04,174.62,174.84,3582
2026-02-16,08:18:00,174.83,175.05,174.83,175.05,89
2026-02-16,08:21:00,175.05,175.15,174.86,174.86,109
2026-02-16,08:24:00,174.86,174.86,174.8,174.8,68
2026-02-16,08:27:00,174.8,174.8,174.62,174.62,2
2026-02-16,08:30:00,174.63,174.63,174.63,174.63,1
2026-02-16,08:33:00,174.41,174.79,174.41,174.7,189
2026-02-16,08:36:00,174.7,174.7,174.22,174.24,124
2026-02-16,08:39:00,174.24,174.24,174.24,174.24,2
2026-02-16,08:42:00,174.24,174.24,174.24,174.24,0
2026-02-16,08:45:00,174.24,174.39,174.24,174.39,81
2026-02-16,08:48:00,174.64,174.66,174.64,174.66,45
2026-02-16,08:51:00,174.66,174.66,174.66,174.66,0
2026-02-16,08:54:00,174.66,174.66,174.66,174.66,0
2026-02-16,08:57:00,174.68,174.78,174.68,174.78,720
2026-02-16,09:00:00,174.78,174.78,174.78,174.78,0
2026-02-16,09:03:00,174.78,174.84,174.78,174.83,1210
2026-02-16,09:06:00,174.83,174.91,174.83,174.89,103
2026-02-16,09:09:00,174.85,174.85,174.57,174.8,168
2026-02-16,09:12:00,174.24,174.25,174.24,174.25,517
