date,time,open,high,low,close,volume
2026-02-16,03:45:00,160.2,160.2,158.89,159.8,89
2026-02-16,03:48:00,159.89,159.89,156.5,156.5,1077
2026-02-16,03:51:00,156.5,159.22,156.5,158.82,177
2026-02-16,03:54:00,158.82,158.82,158.65,158.7,98
2026-02-16,03:57:00,158.7,158.7,158.6,158.7,16
2026-02-16,04:00:00,158.7,159.34,158.7,159.34,359
2026-02-16,04:03:00,158.38,159.08,158.38,159,30
2026-02-16,04:06:00,159.02,159.02,159.02,159.02,28
2026-02-16,04:09:00,159.02,159.25,159.02,159.25,1
2026-02-16,04:12:00,159.28,159.28,159.28,159.28,1
2026-02-16,04:15:00,159,159,159,159,232
2026-02-16,04:18:00,159,159,158.27,158.27,545
2026-02-16,04:21:00,158.27,158.27,157.58,157.58,2
2026-02-16,04:24:00,157.58,157.61,157.58,157.61,2
2026-02-16,04:27:00,157.61,157.61,157.61,157.61,0
2026-02-16,04:30:00,157.61,157.61,156.9,156.9,28
2026-02-16,04:33:00,156.9,156.9,156.9,156.9,0
2026-02-16,04:36:00,156.9,156.9,156.9,156.9,0
2026-02-16,04:39:00,156.9,156.9,156.9,156.9,0
2026-02-16,04:42:00,156.9,156.9,156.9,156.9,0
2026-02-16,04:45:00,156.9,157.49,156.9,157.42,101
2026-02-16,04:48:00,157.42,159.34,157.4,159.11,531
2026-02-16,04:51:00,159.19,159.77,158.45,158.91,502
2026-02-16,04:54:00,158.91,161.19,158,159.01,518
2026-02-16,04:57:00,159.06,159.06,157.01,157.92,421
2026-02-16,05:00:00,157.82,158.76,157.82,158.35,135
2026-02-16,05:03:00,158.35,158.42,157.21,157.21,120
2026-02-16,05:06:00,158.06,158.2,157.94,158.2,62
2026-02-16,05:09:00,158.2,158.99,158.2,158.99,29
2026-02-16,05:12:00,158.99,159,157.5,157.5,124
2026-02-16,05:15:00,157.5,158,157.5,158,1
2026-02-16,05:18:00,158,158.87,158,158.87,3
2026-02-16,05:21:00,158.87,158.87,158.87,158.87,0
2026-02-16,05:24:00,158.87,158.87,158.87,158.87,0
