date,time,open,high,low,close,volume
2026-02-16,03:45:00,2275.3,2284.8,2217.3,2222.7,3146
2026-02-16,03:48:00,2222.7,2222.7,2208.4,2214.4,926
2026-02-16,03:51:00,2218.9,2222,2214,2215.5,1249
2026-02-16,03:54:00,2215.5,2219.3,2208.9,2208.9,586
2026-02-16,03:57:00,2208.9,2210,2204,2205.9,888
2026-02-16,04:00:00,2208.4,2209.6,2204,2206.3,285
2026-02-16,04:03:00,2206.3,2223,2206.3,2217.7,1890
2026-02-16,04:06:00,2217.7,2219,2213.9,2215.6,920
2026-02-16,04:09:00,2215.6,2215.6,2208,2208,295
2026-02-16,04:12:00,2208,2209.4,2204.5,2204.5,705
2026-02-16,04:15:00,2204.5,2211,2204.5,2207,846
2026-02-16,04:18:00,2205,2205,2200.2,2200.2,107
2026-02-16,04:21:00,2200.2,2201.8,2193.6,2198.4,1045
2026-02-16,04:24:00,2198.4,2201.8,2196.1,2200.6,503
2026-02-16,04:27:00,2200.6,2215.7,2200.3,2211.4,2251
2026-02-16,04:30:00,2213.5,2214.9,2209.6,2209.6,263
2026-02-16,04:33:00,2209.6,2209.9,2203.1,2206.1,120
2026-02-16,04:36:00,2204.3,2209.3,2202.9,2202.9,1085
2026-02-16,04:39:00,2202.9,2203.8,2201,2201.6,20
2026-02-16,04:42:00,2201.6,2207,2201.6,2207,34
2026-02-16,04:45:00,2207,2208.8,2205.1,2205.4,257
2026-02-16,04:48:00,2205.4,2211,2200.3,2204.6,514
2026-02-16,04:51:00,2204.6,2206.5,2202.8,2206.5,108
2026-02-16,04:54:00,2206.5,2206.5,2201.6,2202.7,107
2026-02-16,04:57:00,2202.7,2202.7,2200.1,2200.1,20
2026-02-16,05:00:00,2201,2201,2194.3,2195.1,357
2026-02-16,05:03:00,2197.8,2198.8,2195.5,2198.8,126
2026-02-16,05:06:00,2198.8,2198.8,2192.6,2192.6,772
2026-02-16,05:09:00,2190.1,2199.2,2190.1,2199.2,643
2026-02-16,05:12:00,2199.2,2199.2,2199.2,2199.2,0
2026-02-16,05:15:00,2195.2,2195.9,2194,2194,56
2026-02-16,05:18:00,2194,2197.5,2194,2197.5,57
2026-02-16,05:21:00,2197.5,2197.5,2195,2195,7
2026-02-16,05:24:00,2195,2195,2192.8,2193,15
2026-02-16,05:27:00,2192,2193,2190.2,2193,112
2026-02-16,05:30:00,2193,2193,2190.1,2190.1,33
2026-02-16,05:33:00,2193.6,2193.6,2191.4,2193.6,45
2026-02-16,05:36:00,2193.6,2193.8,2192.8,2192.8,3
2026-02-16,05:39:00,2192.8,2195.7,2192.8,2192.8,14
2026-02-16,05:42:00,2192.8,2192.9,2191.6,2191.6,16
