date,time,open,high,low,close,volume
2026-02-17,09:15:00,2147.5,2147.5,2127.4,2130.5,525
2026-02-17,09:18:00,2133,2150.2,2122.9,2149.4,822
2026-02-17,09:21:00,2149.4,2163.5,2148.7,2148.7,1004
2026-02-17,09:24:00,2148.7,2156.8,2148.7,2152.1,218
2026-02-17,09:27:00,2152.1,2153.1,2141.8,2141.8,110
2026-02-17,09:30:00,2140.5,2147.2,2140.5,2143,123
2026-02-17,09:33:00,2143,2147.9,2143,2146,84
2026-02-17,09:36:00,2146,2146,2130,2139.1,259
2026-02-17,09:39:00,2139.1,2139.2,2135,2137.4,57
2026-02-17,09:42:00,2137.4,2143,2137.4,2143,112
2026-02-17,09:45:00,2143.1,2147.8,2139.3,2147.8,95
2026-02-17,09:48:00,2147.8,2147.8,2147.1,2147.2,18
2026-02-17,09:51:00,2147.2,2152,2147.2,2152,84
2026-02-17,09:54:00,2152.5,2152.8,2150,2150,70
2026-02-17,09:57:00,2150,2155.9,2150,2155.9,91
2026-02-17,10:00:00,2155.9,2169,2155.9,2163.9,870
2026-02-17,10:03:00,2163.9,2166.5,2163.9,2166.5,112
2026-02-17,10:06:00,2166.5,2174.8,2161.8,2169.4,655
2026-02-17,10:09:00,2169.5,2169.5,2160.5,2160.5,176
2026-02-17,10:12:00,2160.5,2166,2157.9,2164.2,155
2026-02-17,10:15:00,2164.2,2164.5,2160,2164.3,109
2026-02-17,10:18:00,2164.3,2169.3,2162.7,2169.3,130
2026-02-17,10:21:00,2169.5,2180.4,2167.1,2177.9,1911
2026-02-17,10:24:00,2177.9,2178.4,2177,2178.4,175
2026-02-17,10:27:00,2178.4,2178.4,2174.9,2177.4,157
2026-02-17,10:30:00,2177.4,2177.4,2170.8,2170.8,63
2026-02-17,10:33:00,2170.8,2170.8,2164.1,2164.1,199
2026-02-17,10:36:00,2160.8,2171.9,2160.8,2171.9,193
2026-02-17,10:39:00,2171.9,2171.9,2166.7,2166.7,88
2026-02-17,10:42:00,2166.7,2170.2,2165.5,2170.2,37
2026-02-17,10:45:00,2170.2,2170.2,2164.9,2164.9,46
2026-02-17,10:48:00,2164.9,2164.9,2154.5,2154.6,465
2026-02-17,10:51:00,2154.6,2155.3,2152,2154.1,258
2026-02-17,10:54:00,2154.1,2156.9,2144.3,2156.9,709
2026-02-17,10:57:00,2156.9,2156.9,2152.5,2156.8,129
2026-02-17,11:00:00,2156.8,2156.8,2155,2155,3
2026-02-17,11:03:00,2155,2155,2151.8,2151.8,1
2026-02-17,11:06:00,2153.5,2153.5,2147.7,2152,289
2026-02-17,11:09:00,2152,2152.9,2149.1,2152.5,14
2026-02-17,11:12:00,2152.5,2153.5,2152.5,2153.5,18
2026-02-17,11:15:00,2153.5,2153.5,2153.5,2153.5,0
2026-02-17,11:18:00,2153.5,2153.5,2152.7,2152.7,2
2026-02-17,11:21:00,2152.7,2152.7,2152.7,2152.7,0
2026-02-17,11:24:00,2152.7,2152.7,2148,2148,213
2026-02-17,11:27:00,2148.2,2152.2,2148.2,2152.2,62
2026-02-17,11:30:00,2152.2,2152.2,2149.1,2149.1,4
2026-02-17,11:33:00,2149.1,2155.1,2149.1,2155.1,10
2026-02-17,11:36:00,2155.1,2155.1,2155.1,2155.1,0
2026-02-17,11:39:00,2155.1,2155.1,2149.4,2149.4,35
2026-02-17,11:42:00,2149.4,2150.5,2146.4,2146.4,77
2026-02-17,11:45:00,2146.7,2149.1,2146.7,2149.1,23
2026-02-17,11:48:00,2149.1,2152.8,2149.1,2152.8,12
2026-02-17,11:51:00,2152.8,2152.8,2152.8,2152.8,0
2026-02-17,11:54:00,2152.4,2152.4,2152.4,2152.4,1
2026-02-17,11:57:00,2152.4,2152.5,2152.4,2152.5,3
2026-02-17,12:00:00,2152.5,2153,2150.1,2153,40
2026-02-17,12:03:00,2153,2166.6,2153,2166.6,785
2026-02-17,12:06:00,2166.6,2169.5,2166.6,2166.6,246
2026-02-17,12:09:00,2166.6,2170.6,2165.2,2170.6,75
2026-02-17,12:12:00,2170.6,2170.6,2165.2,2166.3,27
2026-02-17,12:15:00,2166.3,2179,2166,2178.4,580
2026-02-17,12:18:00,2178.4,2179.2,2176.2,2176.2,35
2026-02-17,12:21:00,2176.2,2176.2,2172.8,2176.1,38
2026-02-17,12:24:00,2176.1,2187.9,2176.1,2183.7,871
