date,time,open,high,low,close,volume
2026-02-16,03:45:00,814.5,818.4,806.95,810.8,28595
2026-02-16,03:48:00,810.8,820.95,810.3,818.45,12176
2026-02-16,03:51:00,818.45,822,816.9,821.6,12870
2026-02-16,03:54:00,820.55,820.55,817.05,818.8,4686
2026-02-16,03:57:00,818.8,818.8,816,816.7,5545
2026-02-16,04:00:00,816.8,817.35,814.55,816.7,3210
2026-02-16,04:03:00,816.75,817.5,814.9,815.15,4760
2026-02-16,04:06:00,815.15,815.95,813,814,5049
2026-02-16,04:09:00,814,814,811.2,811.55,1049
2026-02-16,04:12:00,812.6,814.2,811.75,812.45,2181
2026-02-16,04:15:00,812.45,812.45,808.3,808.5,7859
2026-02-16,04:18:00,808.5,808.5,805.35,806,2764
2026-02-16,04:21:00,805.15,805.5,802.65,802.65,6716
2026-02-16,04:24:00,802.65,805.85,802.65,804,3835
2026-02-16,04:27:00,804,804.65,803.7,804.65,1591
2026-02-16,04:30:00,804.65,805.5,803.65,803.65,695
2026-02-16,04:33:00,803.65,804.1,802,802.95,2509
2026-02-16,04:36:00,802.95,804.9,802.95,803.5,898
2026-02-16,04:39:00,803.65,804.1,803.15,803.85,1228
2026-02-16,04:42:00,803.85,805.2,803.85,804.8,1179
2026-02-16,04:45:00,804.95,804.95,803.4,803.4,750
2026-02-16,04:48:00,803.4,804.1,802.9,803.5,1999
2026-02-16,04:51:00,803.5,804.55,802.7,804.45,803
2026-02-16,04:54:00,804.45,804.45,802.5,803,805
2026-02-16,04:57:00,803,803.2,800.9,801.3,2840
2026-02-16,05:00:00,801.3,802.75,801.3,802.75,517
2026-02-16,05:03:00,802.75,803.55,801,801.9,1152
2026-02-16,05:06:00,801.9,801.9,800,800.1,784
2026-02-16,05:09:00,800.1,800.55,798,798.8,3785
2026-02-16,05:12:00,798.8,799.85,798,798,1667
2026-02-16,05:15:00,798,798.75,798,798.75,557
2026-02-16,05:18:00,798.75,799.05,796.6,797.3,1934
2026-02-16,05:21:00,797.3,798.05,795.9,797.95,589
