date,time,open,high,low,close,volume
2026-02-17,09:15:00,270,272.78,268.2,271.9,85222
2026-02-17,09:18:00,271.77,276.08,271.77,274.78,110343
2026-02-17,09:21:00,274.75,277.84,274.4,276.41,112317
2026-02-17,09:24:00,276.41,276.5,274,274.4,82250
2026-02-17,09:27:00,274.4,274.43,272.52,272.79,36839
2026-02-17,09:30:00,272.79,273.38,272.05,273.38,28599
2026-02-17,09:33:00,273.78,274.49,273.05,273.97,30682
2026-02-17,09:36:00,273.5,273.92,272.7,273.92,21031
2026-02-17,09:39:00,273.96,274.67,273.96,274.29,33472
2026-02-17,09:42:00,274,274.9,274,274.9,24323
2026-02-17,09:45:00,274.95,274.95,274.04,274.22,21118
2026-02-17,09:48:00,274.3,274.8,274.06,274.53,6188
2026-02-17,09:51:00,274.53,274.61,274.23,274.51,15851
2026-02-17,09:54:00,274.4,274.8,274.16,274.21,16104
2026-02-17,09:57:00,274.21,274.77,274,274.6,9629
2026-02-17,10:00:00,274.55,274.86,273.32,273.65,20444
2026-02-17,10:03:00,273.88,273.88,273.16,273.73,24286
2026-02-17,10:06:00,273.99,274.23,273.38,274.01,12482
2026-02-17,10:09:00,273.9,274.6,273.79,274.58,12915
2026-02-17,10:12:00,274.26,274.69,274,274.49,30299
2026-02-17,10:15:00,274.61,274.61,273.5,273.75,5816
2026-02-17,10:18:00,273.75,274.68,273.59,274.3,8198
2026-02-17,10:21:00,274.56,274.7,273.75,274.05,10114
2026-02-17,10:24:00,274.05,274.14,273.56,274.14,4985
2026-02-17,10:27:00,274.14,274.9,274.14,274.73,12174
2026-02-17,10:30:00,274.62,274.89,274.04,274.17,16363
2026-02-17,10:33:00,274.17,274.17,273.53,273.53,6912
2026-02-17,10:36:00,273.53,273.87,273.53,273.79,7107
2026-02-17,10:39:00,273.78,274.05,273.5,273.5,4181
2026-02-17,10:42:00,273.51,273.62,272.74,272.74,15102
2026-02-17,10:45:00,272.91,273.41,272.6,272.6,8290
2026-02-17,10:48:00,272.6,272.97,272.5,272.72,8710
2026-02-17,10:51:00,272.74,273.08,272.5,273.08,12958
2026-02-17,10:54:00,273.08,275.6,273,275.36,75339
2026-02-17,10:57:00,275.36,275.8,275.18,275.7,36166
2026-02-17,11:00:00,275.7,275.75,274.95,275.42,30440
2026-02-17,11:03:00,275.42,275.42,274.27,274.27,10003
2026-02-17,11:06:00,274.14,274.53,274.05,274.38,3880
2026-02-17,11:09:00,274.39,274.51,273.5,274.18,9541
2026-02-17,11:12:00,274.07,274.59,274.01,274.04,5452
2026-02-17,11:15:00,274.31,274.31,273.67,273.81,4027
2026-02-17,11:18:00,273.81,274.87,273.76,274.69,17681
2026-02-17,11:21:00,274.7,275.89,274.38,275.76,24373
2026-02-17,11:24:00,275.76,275.97,274.81,274.81,21720
2026-02-17,11:27:00,275.01,275.73,274.62,275.71,24021
2026-02-17,11:30:00,275.53,275.53,275,275.29,2564
2026-02-17,11:33:00,275.29,275.9,275.26,275.26,7474
2026-02-17,11:36:00,275.25,276.48,275.25,276.25,24837
2026-02-17,11:39:00,276.42,276.42,275,275,13284
2026-02-17,11:42:00,275,275.48,274.7,275.26,4293
2026-02-17,11:45:00,275.26,275.5,275.11,275.35,3044
2026-02-17,11:48:00,275.35,275.63,275.29,275.31,9095
2026-02-17,11:51:00,275.28,275.5,274.79,275.38,7412
2026-02-17,11:54:00,275.11,275.45,274.98,275.16,4715
2026-02-17,11:57:00,275.16,275.16,274.5,274.53,8096
2026-02-17,12:00:00,274.53,274.73,274.49,274.73,3160
2026-02-17,12:03:00,274.73,274.73,274.16,274.51,5706
2026-02-17,12:06:00,274.51,274.7,274.45,274.6,1349
2026-02-17,12:09:00,274.5,274.6,274.21,274.23,4751
2026-02-17,12:12:00,274.45,274.58,274.04,274.04,4431
2026-02-17,12:15:00,274.3,274.44,273.95,274.3,12483
2026-02-17,12:18:00,274.3,274.63,274.23,274.31,4906
2026-02-17,12:21:00,274.31,274.5,274.12,274.44,3761
2026-02-17,12:24:00,274.44,274.49,274.1,274.3,3306
2026-02-17,12:27:00,274.44,274.59,274.14,274.58,9504
2026-02-17,12:30:00,274.58,275.1,274.58,275.09,3473
2026-02-17,12:33:00,275.09,275.09,274.83,274.83,2517
2026-02-17,12:36:00,274.83,275.21,274.83,275,5329
2026-02-17,12:39:00,274.9,275,274.7,274.88,2641
2026-02-17,12:42:00,274.88,275.15,274.7,275.15,3017
2026-02-17,12:45:00,275.15,275.43,275,275.06,3806
